trial,weeks,A Percent antigen-specific among IgG^{+},B Percent epitope-specific (KO^-Ag^{++}) among IgG^{+},C Percent IgG^{+}KO^- among Ag^{++},D Number of IGHG sequences that are VRC01-class,E Percent of VRC01-class sequences among IgG,F Percent of IGHG sequences that are VRC01-class,G Percent VRC01-class among eOD-specific IgG+ memory BCR sequences
G001,-5,0.0015057033339413001,0.0009897449623376413,79.39393939393939,0.0,0.0002991583068503753,0.0,0.0
G001,4,0.1618511446443744,0.0615900618715606,42.587142813576904,7.0,0.01339441000678855,18.282988871224166,7.714629331386598
G001,8,0.0964396591584648,0.0343483717550696,35.19553072625698,6.0,0.0098058077333416,21.05263157894737,8.585953681039348
G001,10,2.312381320164197,0.41406339521020596,16.82664778872595,18.0,0.10229408028967145,25.115594787725932,4.213200417121495
G001,16,0.7700917375076768,0.1654744271486306,23.00358959500354,13.0,0.0385092217802743,21.2143928035982,4.949734540439348
G002,-5,0.0039781831884610885,0.0032254406880695328,75.0,0.0,0.00038256246995637116,0.0,0.0
G002,4,1.3403034898206334,0.629570213400985,48.45062264697365,57.0,0.08468186659432603,10.294117647058822,4.629703634247662
G002,8,0.9457377392085138,0.3986488355581237,41.441365326123695,101.0,0.0776914344980429,20.526315789473685,8.446023562097615
G002,16,1.5244921605845059,0.36827526247200465,25.47187302296958,118.5,0.1600643863569423,35.9250906855692,10.37597893577297
G002,24,2.248236297387394,0.591103427571714,24.396904870277652,148.0,0.26929417868254657,47.58842443729904,11.401134733272466
G003,-5,0.0008818022881455572,0.0006919635226974272,87.64705882352942,0.0,0.0005752959692298841,0.0,0.0
G003,8,0.5800380111077821,0.239324983653801,49.193159696542445,58.5,0.037878396573961554,21.876717976910392,10.52619134862433
G003,10,1.8264427386444326,0.5786665409885923,27.812274672494958,26.0,0.08483379283273937,11.371323260935572,3.4940698191576205
G003,16,0.6959713963404142,0.33651364218657387,48.35164835164835,84.0,0.11191915437134554,26.31578947368421,13.521044409322212
G003,21,0.8957955583624219,0.37501100830988643,45.09696481761975,154.0,0.16620486985726282,39.76744186046511,15.408531938442284
