cellid,study week,core-g28v2-N276,001428-core,426c-core,BG505_core_VRC01-N276_pHLsecAvi,BG505-core,BG505-cd4bsHxB2-M278,BG505-cd4bsHxB2,BG505-T278M,BG505-N276Q,001428-T278M,CNE40-T278M,V703-0537-T278M,V703-0739-T278M,CAP260-T278M,235-T278M,1HD2-N276Q
G002-119_2_16_Cg28v2_VRC01c_0548,16,0.00000387,0.0000439,0.000000229,,0.0000194,0.000000518,0.00005,0.00000101,0.00005,0.00000028,0.00005,0.000000186,0.00000272,0.000000926,0.00005,0.00005
G002-119_2_16_Cg28v2_VRC01c_2068,16,7.67E-08,0.00005,0.000000637,0.00000123,0.00005,5.44E-08,0.00000547,0.00005,0.00005,0.00005,0.000000827,0.00005,0.00005,0.00005,0.00005,0.00005
G002-136_2_16_Cg28v2_VRC01c_0563,16,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005
G002-136_2_16_Cg28v2_VRC01c_2110,16,0.00005,0.00005,0.0000271,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005
G002-145_2_16_Cg28v2_VRC01c_0509,16,4.64E-08,0.0000128,3.11E-08,0.000000884,0.00005,0.000000368,0.00005,0.00005,0.00005,0.000000122,0.000000521,9.77E-08,0.000000277,0.000000284,0.0000218,0.00000126
G002-145_2_16_Cg28v2_VRC01c_2025,16,0.00000101,,0.00000351,0.000000294,0.00005,0.000000125,0.00005,0.000033,0.00005,0.000000579,0.000000601,0.00000012,0.00000604,0.00000055,0.00005,0.00005
G002-230_2_16_Cg28v2_VRC01c_0539,16,0.00000202,0.00000991,0.00000123,0.00000102,0.00005,0.000000105,0.00000533,0.00000047,0.0000214,0.000000014,0.00000055,7.46E-08,0.000000547,0.000000476,0.00005,0.0000136
G002-230_2_16_Cg28v2_VRC01c_2042,16,0.000014,0.00005,0.0000125,4.61E-08,0.00005,0.00000106,0.00005,0.00005,0.00005,0.00000547,0.00005,0.00000343,0.00000958,0.00005,0.00005,0.00005
G002-293_2_16_Cg28v2_VRC01c_0536,16,1.18E-08,0.00000663,1.66E-09,0.000000742,0.00000145,3.75E-08,0.00000259,0.000000257,0.00000121,6.71E-08,0.000000271,0.00000042,0.000000796,0.00000201,0.00000089,0.000000197
G002-293_2_16_Cg28v2_VRC01c_2073,16,0.00000211,0.00000909,2.81E-08,0.00000563,0.0000142,0.000000147,0.0000336,0.000000352,0.00000095,0.000000106,0.000000355,8.36E-08,0.0000016,0.000000464,0.00005,0.000000655
G002-341_2_16_Cg28v2_VRC01c_2022,16,6.31E-08,0.00005,0.000000156,,0.00005,6.42E-08,0.0000016,0.0000258,0.00005,0.00000977,0.00000169,0.0000322,0.00005,0.0000461,0.00005,0.00005
G002-341_2_16_Cg28v2_VRC01c_2078,16,0.00000214,0.00005,2.76E-08,0.0000079,0.0000228,0.000000175,0.00000463,0.00000036,0.00000715,0.000000128,0.00000171,9.75E-08,0.00000146,0.00000171,0.00005,0.00000034
G002-480_2_16_Cg28v2_VRC01c_0546,16,2.98E-08,0.00000694,7.81E-09,0.00000804,0.00000739,7.83E-08,0.00000207,0.000000225,0.000000448,9.05E-08,0.000000193,7.74E-08,0.000000879,0.000000611,0.0000458,6.44E-08
G002-480_2_16_Cg28v2_VRC01c_2104,16,0.00000228,,0.00000873,,0.00005,0.000000328,0.00005,0.00005,0.00005,0.000000297,0.00005,0.00005,0.0000158,0.00005,0.00005,0.00005
G002-493_2_16_Cg28v2_VRC01c_0553,16,8.96E-08,0.00005,0.000000371,,0.00005,0.000000639,0.00005,0.00000872,0.00005,0.000000448,0.00005,0.000000537,0.0000237,0.00000303,0.00005,0.00005
G002-577_2_16_Cg28v2_VRC01c_0512,16,0.000000101,0.0000189,1.57E-08,0.00000379,0.00000558,0.00000021,0.00000603,0.000000272,0.0000124,0.000000139,0.000000915,0.00000079,0.00000333,0.000000722,0.00005,0.00000165
G002-577_2_16_Cg28v2_VRC01c_2017,16,0.000000324,0.0000351,5.16E-08,,0.00005,9.88E-08,0.00000611,0.0000248,0.00005,0.000000178,0.00000171,0.000000724,0.00000288,0.0000165,0.00005,0.00005
G002-620_2_16_Cg28v2_VRC01c_0567,16,0.00005,0.00005,0.00005,0.0000246,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005
G002-620_2_16_Cg28v2_VRC01c_2111,16,,,,,,0.00005,0.00005,,0.00005,0.00005,0.00005,,0.00005,,0.00005,0.00005
G002-630_2_16_Cg28v2_VRC01c_2015,16,0.00000033,0.00005,0.00000157,0.00000222,0.00005,0.000000182,0.00005,0.000000547,0.000044,0.000000299,0.000000303,0.000000216,0.000000423,0.000000404,0.00005,0.000000475
G002-820_2_16_Cg28v2_VRC01c_0520,16,0.00000127,0.00005,0.00000152,0.000000404,0.00005,0.000000165,0.00000419,0.000000304,0.000000936,0.000000265,0.000000207,0.000000184,0.00000118,0.000000412,0.000013,0.000000234
G002-820_2_16_Cg28v2_VRC01c_2024,16,0.00000425,0.00005,0.00000102,0.000000574,0.00000696,9.78E-08,0.00000863,0.0000316,0.00005,0.00000224,0.000000998,0.00005,0.00005,0.00005,0.00005,0.00005
G002-855_2_16_Cg28v2_VRC01c_2020,16,0.000000138,0.00005,0.000000197,0.00000106,0.0000369,9.52E-08,0.00005,0.00000046,0.00000908,0.0000314,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005
G002-855_2_16_Cg28v2_VRC01c_2026,16,0.00000193,0.00005,0.00000321,0.00000954,0.0000404,0.000000388,0.00005,0.00000983,0.00000973,0.00000371,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005
G002-943_2_16_Cg28v2_VRC01c_0516,16,3.45E-08,0.00000377,0.000000019,0.0000017,0.00000381,3.48E-08,0.000000633,0.00000023,0.000000484,4.99E-08,0.00000029,8.88E-08,0.000000294,0.000000914,0.00005,0.000000296
G002-943_2_16_Cg28v2_VRC01c_2012,16,7.35E-09,0.00000324,2.62E-09,0.00000593,0.00000737,3.86E-08,0.0000043,0.000000653,0.00000694,1.68E-08,0.000000476,0.00000011,0.000000306,0.000000384,0.0000149,0.000000333
G002-947_2_16_Cg28v2_VRC01c_0524,16,0.000000277,0.00000265,5.96E-08,0.00000161,0.0000171,0.000000133,0.00000447,0.000000958,0.00005,3.12E-08,0.00000109,1.27E-08,0.000000111,9.83E-08,0.00005,0.00000124
G002-947_2_16_Cg28v2_VRC01c_2081,16,0.00000405,0.00005,5.56E-08,8.75E-08,0.0000347,0.000000383,0.00005,0.00000477,0.00005,0.00000374,0.00000906,0.0000142,0.00005,0.00005,0.00005,0.00005
G002-957_2_16_Cg28v2_VRC01c_2059,16,0.00005,0.00005,0.00000183,,0.00005,0.0000107,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.0000216,0.00005,0.00005
G002-957_2_16_Cg28v2_VRC01c_2061,16,0.00000125,0.0000373,0.00000183,8.55E-08,0.00005,0.00000014,0.00005,0.00005,0.00005,0.000000226,0.00005,0.000000199,0.00000121,0.00000324,0.00005,0.00005
G002-119_2_24_Cg28v2_VRC01c_0521,24,0.000000379,0.00005,0.000000113,5.83E-08,0.00005,3.22E-08,0.00000183,0.0000118,0.00005,0.000000177,0.00000172,0.00000433,0.00005,0.00005,0.00005,0.0000353
G002-119_2_24_Cg28v2_VRC01c_2033,24,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005
G002-136_2_24_Cg28v2_VRC01c_0507,24,0.000000163,0.00005,0.00000022,0.00000337,0.00000657,3.97E-08,0.00000317,0.000000234,0.00000489,0.00000053,0.000000463,0.000000436,0.00000198,0.00005,0.00000568,0.00000468
G002-136_2_24_Cg28v2_VRC01c_2003,24,0.000000174,0.00005,0.000000206,0.0000026,0.00000732,1.99E-08,0.00000449,0.000000243,0.00000476,0.000000308,0.000000648,0.000000581,0.00000297,0.00005,0.00005,0.00000225
G002-145_2_24_Cg28v2_VRC01c_0510,24,0.000000194,0.00005,1.42E-08,0.00000688,0.0000133,0.000000253,0.00000408,0.000000877,0.0000299,0.00000085,0.000000377,0.00005,0.00000975,0.0000108,0.00000533,0.00000127
G002-145_2_24_Cg28v2_VRC01c_2004,24,4.66E-09,0.0000179,5.89E-09,0.00000155,0.00000235,1.45E-08,0.00000152,6.44E-08,0.000000195,0.000000184,0.000000139,4.37E-08,0.000000206,0.000000012,0.00005,0.00005
G002-230_2_24_Cg28v2_VRC01c_0517,24,0.000000175,0.00005,6.41E-08,0.000000399,0.00005,0.000000109,0.00000806,0.00005,0.00005,0.000000347,0.0000294,0.0000443,0.00000897,0.00000136,0.00005,0.00005
G002-230_2_24_Cg28v2_VRC01c_2014,24,2.38E-08,0.00000277,1.56E-08,0.00000764,0.0000153,1.15E-09,0.000000664,0.000000215,0.000000408,6.75E-08,0.00000026,3.61E-08,0.000000066,8.17E-08,0.00005,0.000000586
G002-293_2_24_Cg28v2_VRC01c_0515,24,0.000000442,,,,,6.35E-08,0.00000434,0.00000025,0.0000141,0.000000135,0.000000963,0.00000169,0.0000369,0.000000514,0.00005,0.000000245
G002-293_2_24_Cg28v2_VRC01c_2008,24,0.00000194,0.00005,0.00000119,,0.00005,0.000000196,0.00005,0.0000238,0.00005,0.0000071,0.000000409,0.000000374,0.000000924,0.000000418,0.00005,0.00005
G002-341_2_24_Cg28v2_VRC01c_2023,24,0.000000307,0.0000113,0.000000907,0.00000129,0.0000225,3.79E-08,0.00000149,0.000000683,0.00005,0.000000096,0.000000373,0.000000171,0.000000285,0.000000205,0.00005,0.000000752
G002-341_2_24_Cg28v2_VRC01c_2041,24,0.00000011,0.0000109,4.85E-08,0.00000113,0.00000167,2.05E-08,0.00005,6.56E-08,0.000000121,7.67E-08,0.00000017,0.000000111,0.00000106,0.00000136,0.00000068,0.000000198
G002-480_2_24_Cg28v2_VRC01c_0530,24,0.00000864,0.00005,0.000000178,0.0000091,0.0000338,0.00000113,0.00005,0.000000565,0.000011,0.00000049,0.00005,0.00000237,0.00005,0.00005,0.00005,0.00000157
G002-480_2_24_Cg28v2_VRC01c_2031,24,0.00005,0.00005,0.00005,,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005
G002-493_2_24_Cg28v2_VRC01c_0565,24,0.000000181,0.00005,0.000000114,,0.00005,0.00000169,0.00000444,0.00005,0.00005,0.00000869,0.00005,0.0000142,0.00005,0.00005,0.00005,0.00005
G002-577_2_24_Cg28v2_VRC01c_0508,24,8.06E-08,0.0000141,8.01E-08,0.00000338,0.00000861,3.91E-08,0.00000768,0.000000385,0.0000015,0.000000252,0.000000306,8.85E-08,0.000000713,0.000000198,0.00000167,0.000000222
G002-577_2_24_Cg28v2_VRC01c_2011,24,8.2E-09,0.0000231,1.46E-09,0.00000691,0.00000987,8.42E-08,0.00000437,0.00000113,0.00000678,0.000000347,0.000000231,0.000000326,0.000000349,0.00000044,0.00000132,0.000000258
G002-620_2_24_Cg28v2_VRC01c_0554,24,4.03E-08,0.000029,0.00000015,0.00000395,0.0000174,7.42E-08,0.00005,0.00000045,0.0000113,0.000000197,0.00005,0.00000038,0.000000572,0.000000144,0.000047,0.00000353
G002-630_2_24_Cg28v2_VRC01c_2002,24,0.000000633,0.0000156,2.46E-08,,0.0000187,0.000000152,0.00005,0.000000495,0.0000143,0.000000168,0.000000201,3.79E-08,0.000000194,8.77E-08,0.00000101,0.00005
G002-630_2_24_Cg28v2_VRC01c_2007,24,0.000000504,0.00005,0.00000202,0.000000555,0.00005,0.00000165,0.000000506,0.00005,0.00005,0.00000177,0.00005,0.000000542,0.00005,0.00005,0.00005,0.00005
G002-820_2_24_Cg28v2_VRC01c_0511,24,4.98E-09,0.00000244,2.23E-09,0.0000024,0.00000361,7.3E-09,0.00000333,0.000000132,0.00000905,0.000000012,0.000000124,2.01E-08,0.000000091,0.000000369,0.00000725,0.000000233
G002-820_2_24_Cg28v2_VRC01c_2005,24,7.05E-08,0.00000634,5.56E-08,0.00000705,0.0000102,7.09E-08,0.00000347,0.000000288,0.00000615,0.000000103,0.000000199,0.000000025,0.000000121,4.95E-08,0.00005,0.000000318
G002-831_2_24_Cg28v2_VRC01c_2000,24,1.95E-08,0.00000396,5.31E-09,0.000000463,0.00000121,4.25E-08,0.00005,0.000000244,0.000000515,5.63E-08,8.74E-08,6.55E-08,0.000000656,0.000000603,0.000000865,0.000000499
G002-831_2_24_Cg28v2_VRC01c_2016,24,0.00005,,0.00005,0.00005,0.00005,0.00005,0.0000207,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005
G002-855_2_24_Cg28v2_VRC01c_2028,24,0.000000609,0.00000742,1.67E-08,0.00000787,0.0000208,7.03E-08,0.00000584,0.00000024,0.00000456,9.44E-08,0.000000472,7.45E-08,0.00000125,0.000000416,0.00005,0.000000319
G002-855_2_24_Cg28v2_VRC01c_2029,24,0.00000154,0.0000259,0.000000512,,0.0000222,0.000000182,0.00000253,0.00000102,0.000016,0.000000265,0.00000084,0.000000124,0.0000138,0.00000227,0.00005,0.00005
G002-943_2_24_Cg28v2_VRC01c_0506,24,3.72E-08,0.0000048,8.06E-08,0.0000032,0.0000152,9.45E-09,0.00000288,0.00000024,0.000000613,5.41E-08,7.74E-08,0.000000173,0.000000166,0.000000251,0.00005,0.000000264
