"light_chain","comp","mean1","mean2","p.value","fdr"
"IGKV1-33","G001 vs. G002",0.290605095541401,0.302785307038042,0.60749327052554,0.69427802345776
"IGKV1-33","G002 vs. G003",0.302785307038042,0.336998900329898,0.105879753790291,0.242010865806378
"IGKV3-20","G001 vs. G002",0.242834394904456,0.296896906252917,0.00773475298449293,0.0618780238759434
"IGKV3-20","G002 vs. G003",0.296896906252917,0.300109967009903,0.896157100437341,0.896157100437341
"IGKV1-5","G001 vs. G002",0.199840764331211,0.177446490326201,0.127248526701339,0.253310867415845
"IGKV1-5","G002 vs. G003",0.177446490326201,0.140257922623218,6.92413203178941e-05,0.00110786112508631
"IGKV3-15","G001 vs. G002",0.10668789808917,0.0958033461071123,0.314734250602801,0.465150592977186
"IGKV3-15","G002 vs. G003",0.0958033461071123,0.0903728881335568,0.656531823631086,0.700300611873158
"IGLV2-14","G001 vs. G002",0.040605095541401,0.0240209365361254,0.022371657356737,0.0933514276131894
"IGLV2-14","G002 vs. G003",0.0240209365361254,0.0174947515745283,0.0698430040117844,0.186248010698092
"IGLV2-23","G001 vs. G002",0.0111464968152866,0.0144873352649779,0.383975241445562,0.511966988594083
"IGLV2-23","G002 vs. G003",0.0144873352649779,0.0107967609717076,0.319791032671816,0.465150592977186
"IGLV2-11","G001 vs. G002",0.00636942675159262,0.00813160108421407,0.462411308921729,0.56912161098059
"IGLV2-11","G002 vs. G003",0.00813160108421407,0.0051984404678596,0.0247291571684465,0.0933514276131894
"Other","G001 vs. G002",0.101910828025479,0.0804280773904094,0.0291723211291217,0.0933514276131894
"Other","G002 vs. G003",0.0804280773904094,0.0987703688893317,0.142487362921413,0.253310867415845
