"light_chain","comp","mean1","mean2","p.value","fdr"
"IGKV1-33","G001 vs. G002",0.290605095541401,0.302785307038042,0.60749327052554,0.728991924630647
"IGKV1-33","G001 vs. G003",0.290605095541401,0.336998900329898,0.0437734201780225,0.116729120474727
"IGKV1-33","G002 vs. G003",0.302785307038042,0.336998900329898,0.105879753790291,0.231010371906089
"IGKV3-20","G001 vs. G002",0.242834394904456,0.296896906252917,0.00773475298449293,0.0464085179069576
"IGKV3-20","G001 vs. G003",0.242834394904456,0.300109967009903,0.0263413515044081,0.0875169633873651
"IGKV3-20","G002 vs. G003",0.296896906252917,0.300109967009903,0.896157100437341,0.934595294163188
"IGKV1-5","G001 vs. G002",0.199840764331211,0.177446490326201,0.127248526701339,0.254497053402678
"IGKV1-5","G001 vs. G003",0.199840764331211,0.140257922623218,1.11668680789577e-06,2.68004833894985e-05
"IGKV1-5","G002 vs. G003",0.177446490326201,0.140257922623218,6.92413203178941e-05,0.00083089584381473
"IGKV3-15","G001 vs. G002",0.10668789808917,0.0958033461071123,0.314734250602801,0.479686549007723
"IGKV3-15","G001 vs. G003",0.10668789808917,0.0903728881335568,0.240642474541076,0.41252995635613
"IGKV3-15","G002 vs. G003",0.0958033461071123,0.0903728881335568,0.656531823631086,0.750322084149812
"IGLV2-14","G001 vs. G002",0.040605095541401,0.0240209365361254,0.022371657356737,0.0875169633873651
"IGLV2-14","G001 vs. G003",0.040605095541401,0.0174947515745283,0.000664745919162714,0.00531796735330172
"IGLV2-14","G002 vs. G003",0.0240209365361254,0.0174947515745283,0.0698430040117844,0.167623209628283
"IGLV2-23","G001 vs. G002",0.0111464968152866,0.0144873352649779,0.383975241445562,0.542082693805499
"IGLV2-23","G001 vs. G003",0.0111464968152866,0.0107967609717076,0.934595294163188,0.934595294163188
"IGLV2-23","G002 vs. G003",0.0144873352649779,0.0107967609717076,0.319791032671816,0.479686549007723
"IGLV2-11","G001 vs. G002",0.00636942675159262,0.00813160108421407,0.462411308921729,0.616548411895639
"IGLV2-11","G001 vs. G003",0.00636942675159262,0.0051984404678596,0.556701588549779,0.703202006589194
"IGLV2-11","G002 vs. G003",0.00813160108421407,0.0051984404678596,0.0247291571684465,0.0875169633873651
"Other","G001 vs. G002",0.101910828025479,0.0804280773904094,0.0291723211291217,0.0875169633873651
"Other","G001 vs. G003",0.101910828025479,0.0987703688893317,0.843302041891456,0.919965863881588
"Other","G002 vs. G003",0.0804280773904094,0.0987703688893317,0.142487362921413,0.263053593085685
