"panel","y_label","weeks","comp","p.value","fdr"
"A","Percent antigen-specific among IgG^{+}",-5,"G001 vs. G002",3.93398209782907e-09,1.0327329555277e-08
"A","Percent antigen-specific among IgG^{+}",-5,"G002 vs. G003",5.16366477763851e-09,1.0327329555277e-08
"A","Percent antigen-specific among IgG^{+}",4,"G001 vs. G002",5.15490584618571e-14,2.06196233847428e-13
"A","Percent antigen-specific among IgG^{+}",4,"G002 vs. G003",NA,NA
"A","Percent antigen-specific among IgG^{+}",8,"G001 vs. G002",1.03169765636031e-21,8.25358125088251e-21
"A","Percent antigen-specific among IgG^{+}",8,"G002 vs. G003",0.00474526201510709,0.00542315658869381
"A","Percent antigen-specific among IgG^{+}",10,"G002 vs. G003",NA,NA
"A","Percent antigen-specific among IgG^{+}",16,"G001 vs. G002",0.000349048081718239,0.000558476930749182
"A","Percent antigen-specific among IgG^{+}",16,"G002 vs. G003",0.0115611423124792,0.0115611423124792
"A","Percent antigen-specific among IgG^{+}",21,"G001 vs. G002",NA,NA
"A","Percent antigen-specific among IgG^{+}",21,"G002 vs. G003",0.00271208562587491,0.00361611416783321
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",-5,"G001 vs. G002",4.08572327833378e-08,8.17144655666757e-08
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",-5,"G002 vs. G003",3.93668335809311e-08,8.17144655666757e-08
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",4,"G001 vs. G002",4.82556594094698e-14,1.93022637637879e-13
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",4,"G002 vs. G003",NA,NA
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",8,"G001 vs. G002",1.41479127140587e-21,1.1318330171247e-20
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",8,"G002 vs. G003",0.0213933887651284,0.0285245183535045
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",10,"G002 vs. G003",NA,NA
