"panel","y_label","weeks","comp","p.value","fdr"
"A","Percent antigen-specific among IgG^{+}",-5,"G001 vs. G002",3.93398209782907e-09,1.08184507690299e-08
"A","Percent antigen-specific among IgG^{+}",-5,"G001 vs. G003",0.0111241489322985,0.0127172565437271
"A","Percent antigen-specific among IgG^{+}",-5,"G002 vs. G003",5.16366477763851e-09,1.13600625108047e-08
"A","Percent antigen-specific among IgG^{+}",4,"G001 vs. G002",5.15490584618571e-14,2.83519821540214e-13
"A","Percent antigen-specific among IgG^{+}",4,"G001 vs. G003",NA,NA
"A","Percent antigen-specific among IgG^{+}",4,"G002 vs. G003",NA,NA
"A","Percent antigen-specific among IgG^{+}",8,"G001 vs. G002",1.03169765636031e-21,1.13486742199634e-20
"A","Percent antigen-specific among IgG^{+}",8,"G001 vs. G003",3.5940691577532e-10,1.31782535784284e-09
"A","Percent antigen-specific among IgG^{+}",8,"G002 vs. G003",0.00474526201510709,0.00652473527077225
"A","Percent antigen-specific among IgG^{+}",10,"G001 vs. G003",NA,NA
"A","Percent antigen-specific among IgG^{+}",10,"G002 vs. G003",NA,NA
"A","Percent antigen-specific among IgG^{+}",16,"G001 vs. G002",0.000349048081718239,0.000639921483150104
"A","Percent antigen-specific among IgG^{+}",16,"G001 vs. G003",0.850975465471534,0.850975465471534
"A","Percent antigen-specific among IgG^{+}",16,"G002 vs. G003",0.0115611423124792,0.0127172565437271
"A","Percent antigen-specific among IgG^{+}",21,"G001 vs. G002",NA,NA
"A","Percent antigen-specific among IgG^{+}",21,"G001 vs. G003",NA,NA
"A","Percent antigen-specific among IgG^{+}",21,"G002 vs. G003",0.00271208562587491,0.00426184884066057
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",-5,"G001 vs. G002",4.08572327833378e-08,8.98859121233433e-08
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",-5,"G001 vs. G003",0.0305154148739371,0.0372966181792564
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",-5,"G002 vs. G003",3.93668335809311e-08,8.98859121233433e-08
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",4,"G001 vs. G002",4.82556594094698e-14,2.65406126752084e-13
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",4,"G001 vs. G003",NA,NA
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",4,"G002 vs. G003",NA,NA
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",8,"G001 vs. G002",1.41479127140587e-21,1.55627039854646e-20
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",8,"G001 vs. G003",8.3909072396391e-11,3.07666598786767e-10
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",8,"G002 vs. G003",0.0213933887651284,0.0294159095520515
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",10,"G001 vs. G003",NA,NA
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",10,"G002 vs. G003",NA,NA
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",16,"G001 vs. G002",2.03223851327965e-05,3.72577060767935e-05
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",16,"G001 vs. G003",0.00278093707481992,0.00437004397471702
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",16,"G002 vs. G003",0.554404438945471,0.554404438945471
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",21,"G001 vs. G002",NA,NA
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",21,"G001 vs. G003",NA,NA
"B","Percent epitope-specific (KO^-Ag^{++}) among IgG^{+}",21,"G002 vs. G003",0.31226814921426,0.343494964135686
"C","Percent IgG^{+}KO^- among Ag^{++}",-5,"G001 vs. G002",0.37423968888392,0.411663657772312
"C","Percent IgG^{+}KO^- among Ag^{++}",-5,"G001 vs. G003",0.11402882447741,0.156789633656439
"C","Percent IgG^{+}KO^- among Ag^{++}",-5,"G002 vs. G003",0.00777354617803703,0.0142515013264012
"C","Percent IgG^{+}KO^- among Ag^{++}",4,"G001 vs. G002",0.0903675269615083,0.142006113796656
"C","Percent IgG^{+}KO^- among Ag^{++}",4,"G001 vs. G003",NA,NA
"C","Percent IgG^{+}KO^- among Ag^{++}",4,"G002 vs. G003",NA,NA
"C","Percent IgG^{+}KO^- among Ag^{++}",8,"G001 vs. G002",0.139778806646563,0.170840763679132
"C","Percent IgG^{+}KO^- among Ag^{++}",8,"G001 vs. G003",0.00620578902088934,0.0136527358459566
"C","Percent IgG^{+}KO^- among Ag^{++}",8,"G002 vs. G003",0.00291943282856162,0.00802844027854446
"C","Percent IgG^{+}KO^- among Ag^{++}",10,"G001 vs. G003",NA,NA
"C","Percent IgG^{+}KO^- among Ag^{++}",10,"G002 vs. G003",NA,NA
"C","Percent IgG^{+}KO^- among Ag^{++}",16,"G001 vs. G002",0.617968485321498,0.617968485321498
"C","Percent IgG^{+}KO^- among Ag^{++}",16,"G001 vs. G003",5.74833679955564e-07,2.38218670598406e-06
"C","Percent IgG^{+}KO^- among Ag^{++}",16,"G002 vs. G003",6.04265226704312e-07,2.38218670598406e-06
"C","Percent IgG^{+}KO^- among Ag^{++}",21,"G001 vs. G002",NA,NA
"C","Percent IgG^{+}KO^- among Ag^{++}",21,"G001 vs. G003",NA,NA
"C","Percent IgG^{+}KO^- among Ag^{++}",21,"G002 vs. G003",6.49687283450198e-07,2.38218670598406e-06
"D","Number of IGHG sequences that are VRC01-class",-5,"G001 vs. G002",0.32655780733083,0.54426301221805
"D","Number of IGHG sequences that are VRC01-class",-5,"G001 vs. G003",NA,NA
"D","Number of IGHG sequences that are VRC01-class",-5,"G002 vs. G003",0.775096962195985,0.775096962195985
"D","Number of IGHG sequences that are VRC01-class",4,"G001 vs. G002",3.87793881218639e-08,1.2926462707288e-07
"D","Number of IGHG sequences that are VRC01-class",4,"G001 vs. G003",NA,NA
"D","Number of IGHG sequences that are VRC01-class",4,"G002 vs. G003",NA,NA
"D","Number of IGHG sequences that are VRC01-class",8,"G001 vs. G002",6.94091373374828e-10,6.94091373374828e-09
"D","Number of IGHG sequences that are VRC01-class",8,"G001 vs. G003",1.12525708144435e-06,2.25051416288871e-06
"D","Number of IGHG sequences that are VRC01-class",8,"G002 vs. G003",0.431109718329256,0.615871026184652
"D","Number of IGHG sequences that are VRC01-class",10,"G001 vs. G003",NA,NA
"D","Number of IGHG sequences that are VRC01-class",10,"G002 vs. G003",NA,NA
"D","Number of IGHG sequences that are VRC01-class",16,"G001 vs. G002",1.84971971151025e-09,9.24859855755126e-09
"D","Number of IGHG sequences that are VRC01-class",16,"G001 vs. G003",1.0261723976267e-06,2.25051416288871e-06
"D","Number of IGHG sequences that are VRC01-class",16,"G002 vs. G003",0.688070088451452,0.775096962195985
"D","Number of IGHG sequences that are VRC01-class",21,"G001 vs. G002",NA,NA
"D","Number of IGHG sequences that are VRC01-class",21,"G001 vs. G003",NA,NA
"D","Number of IGHG sequences that are VRC01-class",21,"G002 vs. G003",0.76966377914859,0.775096962195985
"E","Percent of VRC01-class sequences among IgG",-5,"G001 vs. G002",0.648484848484848,0.648484848484848
"E","Percent of VRC01-class sequences among IgG",-5,"G001 vs. G003",0.4,0.488888888888889
"E","Percent of VRC01-class sequences among IgG",-5,"G002 vs. G003",0.5,0.55
"E","Percent of VRC01-class sequences among IgG",4,"G001 vs. G002",4.17768634522231e-09,2.29772748987227e-08
"E","Percent of VRC01-class sequences among IgG",4,"G001 vs. G003",NA,NA
"E","Percent of VRC01-class sequences among IgG",4,"G002 vs. G003",NA,NA
"E","Percent of VRC01-class sequences among IgG",8,"G001 vs. G002",2.08576858811254e-12,2.29434544692379e-11
"E","Percent of VRC01-class sequences among IgG",8,"G001 vs. G003",2.77378129124138e-05,7.6278985509138e-05
"E","Percent of VRC01-class sequences among IgG",8,"G002 vs. G003",0.0427173527188171,0.0671272685581412
"E","Percent of VRC01-class sequences among IgG",10,"G001 vs. G003",NA,NA
"E","Percent of VRC01-class sequences among IgG",10,"G002 vs. G003",NA,NA
"E","Percent of VRC01-class sequences among IgG",16,"G001 vs. G002",1.59262605501201e-06,5.83962886837736e-06
"E","Percent of VRC01-class sequences among IgG",16,"G001 vs. G003",0.00211542643949702,0.00465393816689345
"E","Percent of VRC01-class sequences among IgG",16,"G002 vs. G003",0.137650720038948,0.189269740053553
"E","Percent of VRC01-class sequences among IgG",21,"G001 vs. G002",NA,NA
"E","Percent of VRC01-class sequences among IgG",21,"G001 vs. G003",NA,NA
"E","Percent of VRC01-class sequences among IgG",21,"G002 vs. G003",0.0414383226740206,0.0671272685581412
"F","Percent of IGHG sequences that are VRC01-class",-5,"G001 vs. G002",0.294186288800238,0.404506147100327
"F","Percent of IGHG sequences that are VRC01-class",-5,"G001 vs. G003",0.276500480083433,0.404506147100327
"F","Percent of IGHG sequences that are VRC01-class",-5,"G002 vs. G003",0.25,0.404506147100327
"F","Percent of IGHG sequences that are VRC01-class",4,"G001 vs. G002",0.00029207535854341,0.00160641447198875
"F","Percent of IGHG sequences that are VRC01-class",4,"G001 vs. G003",NA,NA
"F","Percent of IGHG sequences that are VRC01-class",4,"G002 vs. G003",NA,NA
"F","Percent of IGHG sequences that are VRC01-class",8,"G001 vs. G002",0.391479669896948,0.47847515209627
"F","Percent of IGHG sequences that are VRC01-class",8,"G001 vs. G003",0.542315415828491,0.59654695741134
"F","Percent of IGHG sequences that are VRC01-class",8,"G002 vs. G003",0.99339122394026,0.99339122394026
"F","Percent of IGHG sequences that are VRC01-class",10,"G001 vs. G003",NA,NA
"F","Percent of IGHG sequences that are VRC01-class",10,"G002 vs. G003",NA,NA
"F","Percent of IGHG sequences that are VRC01-class",16,"G001 vs. G002",0.000181377865302583,0.00160641447198875
"F","Percent of IGHG sequences that are VRC01-class",16,"G001 vs. G003",0.114161636472864,0.2511556002403
"F","Percent of IGHG sequences that are VRC01-class",16,"G002 vs. G003",0.0563147233674035,0.206487319013813
"F","Percent of IGHG sequences that are VRC01-class",21,"G001 vs. G002",NA,NA
"F","Percent of IGHG sequences that are VRC01-class",21,"G001 vs. G003",NA,NA
"F","Percent of IGHG sequences that are VRC01-class",21,"G002 vs. G003",0.102800298667845,0.2511556002403
"G","Percent VRC01-class among eOD-specific IgG+ memory BCR sequences",-5,"G001 vs. G002",0.163636363636364,0.36
"G","Percent VRC01-class among eOD-specific IgG+ memory BCR sequences",-5,"G001 vs. G003",0.4,0.55
"G","Percent VRC01-class among eOD-specific IgG+ memory BCR sequences",-5,"G002 vs. G003",0.25,0.396380410776354
"G","Percent VRC01-class among eOD-specific IgG+ memory BCR sequences",4,"G001 vs. G002",0.00720165468107846,0.0264060671639544
"G","Percent VRC01-class among eOD-specific IgG+ memory BCR sequences",4,"G001 vs. G003",NA,NA
"G","Percent VRC01-class among eOD-specific IgG+ memory BCR sequences",4,"G002 vs. G003",NA,NA
"G","Percent VRC01-class among eOD-specific IgG+ memory BCR sequences",8,"G001 vs. G002",0.816318377745478,0.816318377745478
"G","Percent VRC01-class among eOD-specific IgG+ memory BCR sequences",8,"G001 vs. G003",0.659691758941862,0.725660934836049
"G","Percent VRC01-class among eOD-specific IgG+ memory BCR sequences",8,"G002 vs. G003",0.523000795647657,0.639223194680469
"G","Percent VRC01-class among eOD-specific IgG+ memory BCR sequences",10,"G001 vs. G003",NA,NA
"G","Percent VRC01-class among eOD-specific IgG+ memory BCR sequences",10,"G002 vs. G003",NA,NA
"G","Percent VRC01-class among eOD-specific IgG+ memory BCR sequences",16,"G001 vs. G002",0.000508840676699425,0.00279862372184684
"G","Percent VRC01-class among eOD-specific IgG+ memory BCR sequences",16,"G001 vs. G003",4.75249669063975e-05,0.000522774635970372
"G","Percent VRC01-class among eOD-specific IgG+ memory BCR sequences",16,"G002 vs. G003",0.252242079584953,0.396380410776354
"G","Percent VRC01-class among eOD-specific IgG+ memory BCR sequences",21,"G001 vs. G002",NA,NA
"G","Percent VRC01-class among eOD-specific IgG+ memory BCR sequences",21,"G001 vs. G003",NA,NA
"G","Percent VRC01-class among eOD-specific IgG+ memory BCR sequences",21,"G002 vs. G003",0.113825007794586,0.313018771435113
"H","%VRC01-classresponders",-5,"G001 vs. G003",1,1
"H","%VRC01-classresponders",-5,"G002 vs. G001",1,1
"H","%VRC01-classresponders",-5,"G002 vs. G003",1,1
"H","%VRC01-classresponders",4,"G001 vs. G003",NA,NA
"H","%VRC01-classresponders",4,"G002 vs. G001",0.722931141147,1
"H","%VRC01-classresponders",4,"G002 vs. G003",NA,NA
"H","%VRC01-classresponders",8,"G001 vs. G003",0.637112693389,1
"H","%VRC01-classresponders",8,"G002 vs. G001",0.430948204272,1
"H","%VRC01-classresponders",8,"G002 vs. G003",0.201597639686,1
"H","%VRC01-classresponders",10,"G001 vs. G003",NA,NA
"H","%VRC01-classresponders",10,"G002 vs. G003",NA,NA
"H","%VRC01-classresponders",16,"G001 vs. G003",0.788454727753,1
"H","%VRC01-classresponders",16,"G002 vs. G001",0.911117236144,1
"H","%VRC01-classresponders",16,"G002 vs. G003",0.919553362988,1
"H","%VRC01-classresponders",21,"G001 vs. G003",NA,NA
"H","%VRC01-classresponders",21,"G002 vs. G001",NA,NA
"H","%VRC01-classresponders",21,"G002 vs. G003",0.598357828076,1
