weeks,isotype,frequency
-5,IGHG1,0.6744186046511628
-5,IGHG2,0.1649048625792812
-5,IGHG3,0.12896405919661733
-5,IGHG4,0.03171247357293869
4,IGHG1,0.8640411527186238
4,IGHG3,0.08039714585983739
4,IGHG2,0.0475690027103269
4,IGHG4,0.007992698711211903
8,IGHG1,0.846883662446775
8,IGHG3,0.09290429514474323
8,IGHG2,0.05198182493641586
8,IGHG4,0.008230217472065841
16,IGHG1,0.9116163016357084
16,IGHG3,0.05505960632104242
16,IGHG2,0.029276406986415305
16,IGHG4,0.004047685056833934
24,IGHG1,0.9085528262799645
24,IGHG3,0.06288842852915064
24,IGHG2,0.02027226990233797
24,IGHG4,0.008286475288546907
