weeks,isotype,frequency
-5,IGHG1,0.6
-5,IGHG3,0.4
4,IGHG1,0.8529858299595142
4,IGHG3,0.11082995951417005
4,IGHG2,0.03289473684210526
4,IGHG4,0.003289473684210526
8,IGHG1,0.8665283540802213
8,IGHG3,0.10221300138312586
8,IGHG2,0.026556016597510373
8,IGHG4,0.004702627939142462
16,IGHG1,0.9360438556418456
16,IGHG3,0.04507385411908025
16,IGHG2,0.015989036089538604
16,IGHG4,0.0028932541495355567
24,IGHG1,0.9285517999450399
24,IGHG3,0.04891453696070349
24,IGHG2,0.013190436933223413
24,IGHG4,0.00934322616103325
