weeks,isotype,frequency
-5,IGHG,0.5555555555555556
-5,IGHA,0.26666666666666666
-5,IGHM,0.15555555555555556
-5,IGHD,0.022222222222222223
8,IGHG,0.791023842917251
8,IGHA,0.11490683229813664
8,IGHM,0.06702063714686436
8,UNK,0.02534562211981567
8,IGHD,0.0017030655179322781
10,IGHG,0.8122010840684452
10,IGHA,0.11765331066000638
10,IGHM,0.0497396110107344
10,UNK,0.01891805717929642
10,IGHD,0.0014879370815176957
16,IGHG,0.864979998960985
16,IGHA,0.08478362512338303
16,IGHM,0.03210556392539872
16,UNK,0.016832043223024572
16,IGHD,0.0012987687672086862
21,IGHG,0.8346390891047738
21,IGHA,0.10007312232320068
21,IGHM,0.04523137992269926
21,UNK,0.0186984226470281
21,IGHD,0.0013579860022981303
