,pubID,trial,frequency,x-axis
0,G002-119,G002,0.23042505592841164,G002IGK
6,G002-119,G002,0.0,G002IGL
12,G002-136,G002,0.357429718875502,G002IGK
18,G002-136,G002,0.0,G002IGL
24,G002-145,G002,0.29394387001477107,G002IGK
30,G002-145,G002,0.0,G002IGL
36,G002-230,G002,0.25609756097560976,G002IGK
42,G002-230,G002,0.0,G002IGL
48,G002-254,G002,0.4857142857142857,G002IGK
54,G002-254,G002,0.0,G002IGL
60,G002-278,G002,0.4046242774566474,G002IGK
66,G002-278,G002,0.0,G002IGL
72,G002-293,G002,0.4505703422053232,G002IGK
78,G002-293,G002,0.0,G002IGL
84,G002-302,G002,0.50187265917603,G002IGK
90,G002-302,G002,0.0,G002IGL
96,G002-304,G002,0.47214854111405835,G002IGK
102,G002-304,G002,0.0,G002IGL
108,G002-341,G002,0.42379182156133827,G002IGK
114,G002-341,G002,0.0,G002IGL
120,G002-427,G002,0.33043478260869563,G002IGK
126,G002-427,G002,0.0,G002IGL
132,G002-462,G002,0.4260869565217391,G002IGK
138,G002-462,G002,0.0,G002IGL
144,G002-477,G002,0.32882882882882886,G002IGK
150,G002-477,G002,0.0,G002IGL
156,G002-479,G002,0.35365853658536583,G002IGK
162,G002-479,G002,0.0,G002IGL
168,G002-480,G002,0.25,G002IGK
174,G002-480,G002,0.0,G002IGL
180,G002-493,G002,0.2465753424657534,G002IGK
186,G002-493,G002,0.0,G002IGL
192,G002-502,G002,0.39267886855241263,G002IGK
198,G002-502,G002,0.0,G002IGL
204,G002-509,G002,0.4562798092209857,G002IGK
210,G002-509,G002,0.0,G002IGL
216,G002-516,G002,0.5263157894736842,G002IGK
222,G002-516,G002,0.0,G002IGL
228,G002-546,G002,0.5272331154684096,G002IGK
234,G002-546,G002,0.0,G002IGL
240,G002-577,G002,0.4520547945205479,G002IGK
246,G002-577,G002,0.0,G002IGL
252,G002-595,G002,0.34615384615384615,G002IGK
258,G002-595,G002,0.0,G002IGL
264,G002-616,G002,0.278328611898017,G002IGK
270,G002-616,G002,0.0,G002IGL
