,pubID,trial,frequency,x-axis
0,G002-119,G002,0.0,G002IGK
6,G002-119,G002,0.0,G002IGL
12,G002-136,G002,0.0,G002IGK
18,G002-145,G002,0.0,G002IGK
24,G002-230,G002,0.16666666666666666,G002IGK
30,G002-254,G002,0.0,G002IGL
36,G002-293,G002,0.0,G002IGK
42,G002-302,G002,0.0,G002IGK
48,G002-304,G002,0.0,G002IGK
54,G002-341,G002,0.0,G002IGK
60,G002-371,G002,0.0,G002IGK
66,G002-371,G002,0.0,G002IGL
72,G002-427,G002,0.0,G002IGK
78,G002-477,G002,0.0,G002IGK
84,G002-479,G002,0.0,G002IGK
90,G002-493,G002,0.0,G002IGK
96,G002-502,G002,0.0,G002IGK
102,G002-516,G002,0.0,G002IGK
108,G002-516,G002,0.0,G002IGL
114,G002-577,G002,0.0,G002IGK
120,G002-595,G002,0.25,G002IGK
126,G002-595,G002,0.0,G002IGL
132,G002-616,G002,0.0,G002IGK
138,G002-619,G002,0.47058823529411764,G002IGK
144,G002-620,G002,0.0,G002IGK
150,G002-630,G002,0.2,G002IGK
156,G002-678,G002,0.0,G002IGK
162,G002-689,G002,0.0,G002IGK
168,G002-758,G002,0.0,G002IGK
174,G002-796,G002,0.5,G002IGK
180,G002-810,G002,0.0,G002IGK
186,G002-813,G002,0.0,G002IGK
192,G002-820,G002,0.0,G002IGK
198,G002-820,G002,0.0,G002IGL
204,G002-831,G002,0.0,G002IGK
210,G002-852,G002,0.125,G002IGK
216,G002-852,G002,0.0,G002IGL
222,G002-855,G002,0.0,G002IGK
228,G002-866,G002,0.0,G002IGK
234,G002-871,G002,0.0,G002IGK
240,G002-884,G002,0.0,G002IGK
246,G002-905,G002,0.0,G002IGK
252,G002-931,G002,0.0,G002IGK
258,G002-931,G002,0.0,G002IGL
264,G002-943,G002,0.0,G002IGK
270,G002-957,G002,0.0,G002IGK
276,G002-969,G002,0.0,G002IGK
282,G002-988,G002,0.0,G002IGK
288,G002-997,G002,0.0,G002IGK
294,G002-997,G002,0.0,G002IGL
300,G003-135,G003,0.0,G003IGK
306,G003-138,G003,0.0,G003IGK
312,G003-210,G003,0.05,G003IGK
318,G003-210,G003,0.0,G003IGL
324,G003-243,G003,0.5,G003IGK
330,G003-291,G003,0.03571428571428571,G003IGK
336,G003-291,G003,0.0,G003IGL
342,G003-396,G003,0.0,G003IGK
348,G003-396,G003,0.0,G003IGL
354,G003-434,G003,0.058823529411764705,G003IGK
360,G003-434,G003,0.0,G003IGL
366,G003-516,G003,0.5,G003IGK
372,G003-611,G003,0.0,G003IGK
378,G003-622,G003,0.0,G003IGK
384,G003-622,G003,0.0,G003IGL
390,G003-630,G003,0.1111111111111111,G003IGK
396,G003-710,G003,0.07142857142857142,G003IGK
402,G003-710,G003,0.0,G003IGL
408,G003-732,G003,0.5,G003IGK
414,G003-753,G003,0.0,G003IGK
420,G003-799,G003,0.0,G003IGK
426,PubID_005,G001,1.0,G001IGK
432,PubID_009,G001,0.0,G001IGK
438,PubID_023,G001,0.0,G001IGK
444,PubID_032,G001,0.5555555555555556,G001IGK
450,PubID_032,G001,0.0,G001IGL
456,PubID_036,G001,0.0,G001IGK
462,PubID_047,G001,0.0,G001IGK
468,PubID_056,G001,0.0,G001IGK
474,PubID_059,G001,0.0,G001IGK
480,PubID_060,G001,0.08333333333333333,G001IGK
486,PubID_062,G001,0.0,G001IGK
492,PubID_070,G001,0.0,G001IGK
498,PubID_077,G001,1.0,G001IGK
504,PubID_100,G001,0.0,G001IGK
510,PubID_112,G001,0.0,G001IGK
516,PubID_113,G001,0.0,G001IGK
522,PubID_117,G001,0.0,G001IGK
528,PubID_151,G001,0.16666666666666666,G001IGK
534,PubID_151,G001,0.0,G001IGL
540,PubID_153,G001,0.0,G001IGK
546,PubID_154,G001,1.0,G001IGK
552,PubID_163,G001,0.0,G001IGK
558,PubID_177,G001,1.0,G001IGK
564,PubID_187,G001,0.75,G001IGK
570,PubID_191,G001,0.5,G001IGK
576,PubID_191,G001,0.0,G001IGL
582,PubID_193,G001,0.0,G001IGK
