trial,weeks,n Abs tested,% $\mathregular{K_D}$s < 100 $\mu$M,N participants,Median $\mathregular{K_D}$ (M),Binder geomean $\mathregular{K_D}$ (M)
G001,4,41.0,92.0,16.0,3.3e-08,3.4e-08
G001,8,34.0,100.0,15.0,3.1e-08,2.5e-08
G001,10,68.0,95.0,17.0,3.8e-09,2.8e-09
G001,16,74.0,100.0,16.0,2.7e-09,6e-09
G001,21,,,,,
G002,4,75.0,94.0,38.0,2.3e-07,1.5e-07
G002,8,80.0,93.0,40.0,8.5e-09,1.2e-08
G002,10,,,,,
G002,16,38.0,100.0,19.0,3.9e-10,9.3e-10
G002,21,,,,,
G003,4,,,,,
G003,8,30.0,100.0,15.0,3.8e-10,6.2e-10
G003,10,32.0,100.0,16.0,5.4e-10,6.2e-10
G003,16,32.0,100.0,16.0,1e-10,1.5e-10
G003,21,30.0,100.0,15.0,7.5e-11,1.5e-10
