trial,pseudogroup,weeks,pubID,KD_fix_iGL
G001,G001,iGL,PubID_005,4.2e-08
G001,G001,iGL,PubID_005,1.4e-08
G001,G001,iGL,PubID_014,7.5e-06
G001,G001,iGL,PubID_014,1.8e-07
G001,G001,iGL,PubID_023,5.2e-10
G001,G001,iGL,PubID_023,9.6e-07
G001,G001,iGL,PubID_023,1.4e-07
G001,G001,iGL,PubID_023,1.3e-07
G001,G001,iGL,PubID_023,5.8e-09
G001,G001,iGL,PubID_023,1.6e-08
G001,G001,iGL,PubID_023,3.5e-09
G001,G001,iGL,PubID_023,7.1e-08
G001,G001,iGL,PubID_023,2.8e-08
G001,G001,iGL,PubID_023,1.8e-06
G001,G001,iGL,PubID_023,5.4e-07
G001,G001,iGL,PubID_023,6.9e-09
G001,G001,iGL,PubID_023,1.4e-09
G001,G001,iGL,PubID_023,7.7e-09
G001,G001,iGL,PubID_023,8.5e-06
G001,G001,iGL,PubID_036,8.9e-07
G001,G001,iGL,PubID_036,3.7e-06
G001,G001,iGL,PubID_036,1.3e-06
G001,G001,iGL,PubID_036,7.8e-06
G001,G001,iGL,PubID_036,2.9e-06
G001,G001,iGL,PubID_036,9.6e-07
G001,G001,iGL,PubID_036,9.6e-07
G001,G001,iGL,PubID_036,1.1e-07
G001,G001,iGL,PubID_036,1.7e-08
G001,G001,iGL,PubID_036,3.8e-07
G001,G001,iGL,PubID_036,9.27e-06
G001,G001,iGL,PubID_036,7.6e-08
G001,G001,iGL,PubID_036,1.2e-09
G001,G001,iGL,PubID_036,6.1e-08
G001,G001,iGL,PubID_036,1e-08
G001,G001,iGL,PubID_036,1.2e-09
G001,G001,iGL,PubID_036,4.6e-06
G001,G001,iGL,PubID_036,5.5e-07
G001,G001,iGL,PubID_036,1.7e-05
G001,G001,iGL,PubID_036,1e-09
G001,G001,iGL,PubID_036,3.6e-08
G001,G001,iGL,PubID_036,7.8e-08
G001,G001,iGL,PubID_036,5.6e-11
G001,G001,iGL,PubID_036,3e-05
G001,G001,iGL,PubID_036,9.5e-08
G001,G001,iGL,PubID_036,2.4e-06
G001,G001,iGL,PubID_036,2.4e-06
G001,G001,iGL,PubID_036,1.9e-06
G001,G001,iGL,PubID_036,0.0001
G001,G001,iGL,PubID_046,3.4e-08
G001,G001,iGL,PubID_046,4.1e-06
G001,G001,iGL,PubID_046,2.8e-08
G001,G001,iGL,PubID_046,2.7e-06
G001,G001,iGL,PubID_046,2e-08
G001,G001,iGL,PubID_046,1.84e-05
G001,G001,iGL,PubID_046,4.78e-06
G001,G001,iGL,PubID_046,2.6e-08
G001,G001,iGL,PubID_047,3.5e-05
G001,G001,iGL,PubID_047,3.4e-07
G001,G001,iGL,PubID_051,6.3e-08
G001,G001,iGL,PubID_051,3.2e-07
G001,G001,iGL,PubID_051,2.4e-08
G001,G001,iGL,PubID_056,1.2e-07
