trial,weeks,n Abs tested,% $\mathregular{K_D}$s < 100 $\mu$M,N participants,Median $\mathregular{K_D}$ (M),Binder geomean $\mathregular{K_D}$ (M)
G001,4,21.0,90.0,18.0,3.7e-06,1.1e-06
G001,8,25.0,84.0,18.0,6e-06,2.1e-06
G001,10,19.0,100.0,16.0,6.5e-07,4.2e-07
G001,16,15.0,80.0,15.0,2.1e-06,4.6e-07
G001,21,,,,,
G002,4,85.0,78.0,43.0,2.1e-06,8.7e-07
G002,8,86.0,86.0,43.0,2.9e-06,1.2e-06
G002,10,,,,,
G002,16,44.0,97.0,22.0,2.5e-06,5.1e-07
G002,21,,,,,
G003,4,,,,,
G003,8,16.0,100.0,16.0,1.1e-06,7.8e-07
G003,10,18.0,88.0,18.0,2.8e-07,4.6e-08
G003,16,17.0,88.0,17.0,6.3e-07,8.6e-08
G003,21,16.0,100.0,16.0,6.2e-08,8.1e-09
