trial,pseudogroup,weeks,pubID,KD_fix_iGL
G001,G001,iGL,PubID_005,0.0001
G001,G001,iGL,PubID_005,2.3e-07
G001,G001,iGL,PubID_014,5.95e-05
G001,G001,iGL,PubID_014,0.0001
G001,G001,iGL,PubID_023,4.06e-06
G001,G001,iGL,PubID_023,1.74e-05
G001,G001,iGL,PubID_023,0.0001
G001,G001,iGL,PubID_023,0.0001
G001,G001,iGL,PubID_028,5.2e-07
G001,G001,iGL,PubID_028,2.2e-07
G001,G001,iGL,PubID_036,6.6e-06
G001,G001,iGL,PubID_036,0.0001
G001,G001,iGL,PubID_036,4e-06
G001,G001,iGL,PubID_036,2.25e-05
G001,G001,iGL,PubID_036,0.0001
G001,G001,iGL,PubID_046,0.0001
G001,G001,iGL,PubID_046,2.1e-05
G001,G001,iGL,PubID_047,8.5e-07
G001,G001,iGL,PubID_047,1.3e-07
G001,G001,iGL,PubID_051,0.0001
G001,G001,iGL,PubID_056,0.0001
G001,G001,iGL,PubID_056,2.8e-06
G001,G001,iGL,PubID_077,7.8e-07
G001,G001,iGL,PubID_079,0.0001
G001,G001,iGL,PubID_079,0.0001
G001,G001,iGL,PubID_100,8.4e-07
G001,G001,iGL,PubID_100,2.9e-05
G001,G001,iGL,PubID_110,0.0001
G001,G001,iGL,PubID_110,0.0001
G001,G001,iGL,PubID_114,1.92e-05
G001,G001,iGL,PubID_114,0.0001
G001,G001,iGL,PubID_151,0.0001
G001,G001,iGL,PubID_151,0.0001
G001,G001,iGL,PubID_153,0.0001
G001,G001,iGL,PubID_153,6.1e-07
G001,G001,iGL,PubID_154,2e-06
G001,G001,iGL,PubID_187,0.0001
G001,G001,iGL,PubID_187,5.2e-06
G001,G001,iGL,PubID_187,2.87e-05
G001,G001,iGL,PubID_187,0.0001
G001,G001,iGL,PubID_187,0.0001
G002,G002,iGL,G002-119,
G002,G002,iGL,G002-119,
G002,G002,iGL,G002-119,9.046e-07
G002,G002,iGL,G002-119,
G002,G002,iGL,G002-136,
G002,G002,iGL,G002-136,0.0001
G002,G002,iGL,G002-136,0.0001
G002,G002,iGL,G002-136,
G002,G002,iGL,G002-145,2.144e-06
G002,G002,iGL,G002-145,
G002,G002,iGL,G002-145,
G002,G002,iGL,G002-145,0.0001
G002,G002,iGL,G002-230,
G002,G002,iGL,G002-230,
G002,G002,iGL,G002-230,
G002,G002,iGL,G002-230,5.937e-08
G002,G002,iGL,G002-278,
G002,G002,iGL,G002-278,
G002,G002,iGL,G002-278,
G002,G002,iGL,G002-278,1.091e-06
G002,G002,iGL,G002-278,
G002,G002,iGL,G002-278,
G002,G002,iGL,G002-293,
G002,G002,iGL,G002-293,5.5e-05
G002,G002,iGL,G002-293,
G002,G002,iGL,G002-293,0.0001
G002,G002,iGL,G002-302,
G002,G002,iGL,G002-302,
G002,G002,iGL,G002-302,5.472e-06
G002,G002,iGL,G002-302,
G002,G002,iGL,G002-302,
G002,G002,iGL,G002-302,
G002,G002,iGL,G002-304,
G002,G002,iGL,G002-304,
G002,G002,iGL,G002-304,5.5e-05
G002,G002,iGL,G002-304,
G002,G002,iGL,G002-304,
G002,G002,iGL,G002-304,
G002,G002,iGL,G002-341,
G002,G002,iGL,G002-341,3.957e-06
G002,G002,iGL,G002-341,
G002,G002,iGL,G002-341,
G002,G002,iGL,G002-371,
G002,G002,iGL,G002-371,
G002,G002,iGL,G002-371,
G002,G002,iGL,G002-371,
G002,G002,iGL,G002-371,5.5e-05
G002,G002,iGL,G002-371,
G002,G002,iGL,G002-427,
G002,G002,iGL,G002-427,
G002,G002,iGL,G002-427,
G002,G002,iGL,G002-427,
G002,G002,iGL,G002-427,
G002,G002,iGL,G002-427,
G002,G002,iGL,G002-477,2.644e-06
G002,G002,iGL,G002-477,
G002,G002,iGL,G002-477,
G002,G002,iGL,G002-477,
G002,G002,iGL,G002-477,
G002,G002,iGL,G002-477,
G002,G002,iGL,G002-479,5.5e-05
G002,G002,iGL,G002-479,
G002,G002,iGL,G002-479,
G002,G002,iGL,G002-479,
G002,G002,iGL,G002-480,
G002,G002,iGL,G002-480,
G002,G002,iGL,G002-480,
G002,G002,iGL,G002-480,1.634e-05
G002,G002,iGL,G002-493,6.344e-05
G002,G002,iGL,G002-493,
G002,G002,iGL,G002-493,9.244e-06
G002,G002,iGL,G002-493,2.289e-07
G002,G002,iGL,G002-502,
G002,G002,iGL,G002-502,
G002,G002,iGL,G002-502,
G002,G002,iGL,G002-502,
G002,G002,iGL,G002-516,4.958e-05
G002,G002,iGL,G002-516,5.217e-08
G002,G002,iGL,G002-516,1.094e-06
G002,G002,iGL,G002-516,0.0001
G002,G002,iGL,G002-546,
G002,G002,iGL,G002-546,
G002,G002,iGL,G002-546,
G002,G002,iGL,G002-546,
G002,G002,iGL,G002-546,0.0001
G002,G002,iGL,G002-546,0.0001
G002,G002,iGL,G002-577,
G002,G002,iGL,G002-577,5.5e-05
G002,G002,iGL,G002-577,
G002,G002,iGL,G002-577,
G002,G002,iGL,G002-616,
G002,G002,iGL,G002-616,
G002,G002,iGL,G002-616,
G002,G002,iGL,G002-616,
G002,G002,iGL,G002-616,
G002,G002,iGL,G002-616,
G002,G002,iGL,G002-619,
G002,G002,iGL,G002-619,7.449e-06
G002,G002,iGL,G002-619,
G002,G002,iGL,G002-619,
G002,G002,iGL,G002-619,
G002,G002,iGL,G002-619,
G002,G002,iGL,G002-620,
G002,G002,iGL,G002-620,
G002,G002,iGL,G002-620,1.126e-06
G002,G002,iGL,G002-620,0.0001
G002,G002,iGL,G002-630,4.614e-06
G002,G002,iGL,G002-630,7.031e-05
G002,G002,iGL,G002-630,
G002,G002,iGL,G002-678,2.419e-08
G002,G002,iGL,G002-678,
G002,G002,iGL,G002-678,
G002,G002,iGL,G002-678,
G002,G002,iGL,G002-678,
G002,G002,iGL,G002-678,
G002,G002,iGL,G002-758,4.958e-05
G002,G002,iGL,G002-758,
G002,G002,iGL,G002-758,
G002,G002,iGL,G002-758,0.0001
G002,G002,iGL,G002-758,0.0001
G002,G002,iGL,G002-758,0.0001
G002,G002,iGL,G002-796,5.954e-06
G002,G002,iGL,G002-796,
G002,G002,iGL,G002-796,3.919e-05
G002,G002,iGL,G002-796,3.323e-08
G002,G002,iGL,G002-810,
G002,G002,iGL,G002-810,
G002,G002,iGL,G002-810,
G002,G002,iGL,G002-810,
G002,G002,iGL,G002-810,
G002,G002,iGL,G002-810,0.0001
G002,G002,iGL,G002-813,7.031e-05
G002,G002,iGL,G002-813,
G002,G002,iGL,G002-813,
G002,G002,iGL,G002-813,
G002,G002,iGL,G002-813,0.0001
G002,G002,iGL,G002-813,
G002,G002,iGL,G002-820,0.0001
G002,G002,iGL,G002-820,
G002,G002,iGL,G002-820,0.0001
G002,G002,iGL,G002-820,0.0001
G002,G002,iGL,G002-831,4.958e-05
G002,G002,iGL,G002-831,
G002,G002,iGL,G002-831,
G002,G002,iGL,G002-831,5.65e-05
G002,G002,iGL,G002-834,0.0001
G002,G002,iGL,G002-834,7.031e-05
G002,G002,iGL,G002-834,
G002,G002,iGL,G002-834,
G002,G002,iGL,G002-834,
G002,G002,iGL,G002-834,
G002,G002,iGL,G002-852,
G002,G002,iGL,G002-852,
G002,G002,iGL,G002-852,
G002,G002,iGL,G002-852,0.0001
G002,G002,iGL,G002-852,0.0001
G002,G002,iGL,G002-852,
