trial,weeks,n Abs tested,% $\mathregular{K_D}$s < 100 $\mu$M,N participants,Median $\mathregular{K_D}$ (M),Binder geomean $\mathregular{K_D}$ (M)
G001,4,32.0,3.0,15.0,0.0001,2.6e-05
G001,8,29.0,3.0,14.0,0.0001,6.7e-06
G001,10,57.0,21.0,17.0,0.0001,3.9e-06
G001,16,69.0,18.0,16.0,0.0001,3.2e-06
G001,21,,,,,
G002,4,75.0,6.0,38.0,0.0001,8.4e-06
G002,8,78.0,26.0,40.0,0.0001,3.6e-06
G002,10,,,,,
G002,16,38.0,42.0,19.0,0.0001,5e-06
G002,21,,,,,
G003,4,,,,,
G003,8,30.0,56.0,15.0,1.9e-05,2.7e-06
G003,10,29.0,44.0,15.0,0.0001,7.4e-06
G003,16,32.0,78.0,16.0,1.2e-05,4.4e-06
G003,21,28.0,75.0,15.0,3e-06,1.2e-06
