trial,weeks,n Abs tested,% $\mathregular{K_D}$s < 100 $\mu$M,N participants,Median $\mathregular{K_D}$ (M),Binder geomean $\mathregular{K_D}$ (M)
G001,4,21.0,0.0,18.0,0.0001,0.0001
G001,8,23.0,0.0,16.0,0.0001,0.0001
G001,10,18.0,5.0,15.0,0.0001,8.7e-06
G001,16,15.0,0.0,15.0,0.0001,0.0001
G001,21,,,,,
G002,4,85.0,1.0,43.0,0.0001,3.1e-05
G002,8,86.0,0.0,43.0,0.0001,0.0001
G002,10,,,,,
G002,16,44.0,4.0,22.0,0.0001,1.1e-05
G002,21,,,,,
G003,4,,,,,
G003,8,15.0,0.0,15.0,0.0001,0.0001
G003,10,18.0,5.0,18.0,0.0001,2.8e-06
G003,16,16.0,0.0,16.0,0.0001,0.0001
G003,21,16.0,6.0,16.0,0.0001,4.4e-06
