pseudogroup,isotype,frequency
1.0,IGHG,0.8210262828535669
1.0,IGHA,0.17647058823529413
1.0,IGHM,0.0025031289111389237
2.0,IGHG,1.0
3.0,IGHG,0.869914853358562
3.0,IGHA,0.12724692526017028
3.0,UNK,0.0023651844843897824
3.0,IGHM,0.0004730368968779565
4.0,IGHG,0.8465132997843278
4.0,IGHA,0.14953271028037382
4.0,UNK,0.002156721782890007
4.0,IGHM,0.0017972681524083393
5.0,IGHG,0.8577586206896551
5.0,IGHA,0.13759946949602123
5.0,UNK,0.0029840848806366046
5.0,IGHM,0.0016578249336870027
6.0,IGHG,0.862734389222647
6.0,IGHA,0.1334425632623339
6.0,IGHM,0.002002548698343346
6.0,UNK,0.0018204988166757691
7.0,IGHG,0.9127872716558633
7.0,IGHA,0.08338243959929287
7.0,IGHM,0.0020624631703005302
7.0,UNK,0.0014731879787860931
7.0,IGHD,0.0002946375957572186
