pseudogroup,isotype,frequency
1.0,IGHG1,0.926829268292683
1.0,IGHG3,0.0625
1.0,IGHG2,0.010670731707317074
2.0,IGHG1,0.75
2.0,IGHG3,0.25
3.0,IGHG1,0.9521479064709081
3.0,IGHG3,0.03072321914083741
3.0,IGHG2,0.013866231647634585
3.0,IGHG4,0.0032626427406199023
4.0,IGHG1,0.9583864118895966
4.0,IGHG3,0.03227176220806794
4.0,IGHG2,0.004670912951167728
4.0,IGHG4,0.004670912951167728
5.0,IGHG1,0.9493621955933513
5.0,IGHG3,0.03362968689601856
5.0,IGHG2,0.010050251256281407
5.0,IGHG4,0.006957866254348666
6.0,IGHG1,0.917493142013083
6.0,IGHG3,0.060983329816416965
6.0,IGHG2,0.014138003798269677
6.0,IGHG4,0.007385524372230428
7.0,IGHG1,0.9441575209812783
7.0,IGHG3,0.02646868947708199
7.0,IGHG2,0.020981278244028404
7.0,IGHG4,0.008392511297611363
