pseudogroup,pubID,weeks,cluster,cluster_size
1.0,G002-119,8,IGHV1-2*02_IGKV1-33*01_13_7_True_G002-119_0,1
1.0,G002-119,8,IGHV1-2*02_IGKV1-33*01_14_7_True_G002-119_2,1
1.0,G002-119,8,IGHV1-2*02_IGKV1-33*01_15_7_True_G002-119_3,1
1.0,G002-119,8,IGHV1-2*02_IGKV1-33*01_16_7_True_G002-119_0,1
1.0,G002-119,8,IGHV1-2*02_IGKV1-33*01_16_7_True_G002-119_4,1
1.0,G002-119,8,IGHV1-2*02_IGKV1-33*01_17_7_True_G002-119_4,1
1.0,G002-119,8,IGHV1-2*02_IGKV1-33*01_18_7_True_G002-119_0,1
1.0,G002-119,8,IGHV1-2*02_IGKV1-5*03_15_7_True_G002-119_1,1
1.0,G002-119,8,IGHV1-2*02_IGKV1-5*03_16_7_True_G002-119_0,1
1.0,G002-119,8,IGHV1-2*02_IGKV1-5*03_17_7_True_G002-119_1,1
1.0,G002-119,8,IGHV1-2*02_IGKV1-5*03_18_7_True_G002-119_0,2
1.0,G002-119,8,IGHV1-2*02_IGKV1-5*03_19_7_True_G002-119_0,1
1.0,G002-119,8,IGHV1-2*02_IGKV3-15*01_15_7_True_G002-119_1,1
1.0,G002-119,8,IGHV1-2*02_IGKV3-15*01_16_7_True_G002-119_1,1
1.0,G002-119,8,IGHV1-2*02_IGKV3-15*01_16_7_True_G002-119_2,1
1.0,G002-119,8,IGHV1-2*02_IGKV3-15*01_16_7_True_G002-119_6,1
1.0,G002-119,8,IGHV1-2*02_IGKV3-15*01_17_7_True_G002-119_0,1
1.0,G002-119,8,IGHV1-2*02_IGKV3-15*01_17_7_True_G002-119_1,1
1.0,G002-119,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-119_1,1
1.0,G002-119,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-119_4,1
1.0,G002-119,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-119_10,1
1.0,G002-119,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-119_11,1
1.0,G002-119,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-119_5,1
1.0,G002-119,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-119_6,1
1.0,G002-119,8,IGHV1-2*02_IGKV3-20*01_17_7_True_G002-119_6,1
1.0,G002-119,8,IGHV1-2*02_IGKV3-20*01_18_7_True_G002-119_1,1
1.0,G002-119,8,IGHV1-2*02_IGKV3-20*01_18_7_True_G002-119_3,1
1.0,G002-119,8,IGHV1-2*02_IGKV3-20*01_19_7_True_G002-119_2,1
1.0,G002-119,8,IGHV1-2*02_IGKV3-20*01_24_7_True_G002-119_0,1
1.0,G002-119,8,IGHV1-2*02_IGLV2-14*01_13_7_True_G002-119_0,1
1.0,G002-119,8,IGHV1-2*04_IGKV3-15*01_18_7_True_G002-119_0,1
1.0,G002-119,8,IGHV1-2*04_IGKV3-20*01_16_7_True_G002-119_1,2
1.0,G002-119,8,IGHV1-2*04_IGKV3-20*01_20_7_True_G002-119_0,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-27*01_17_7_True_G002-136_1,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_10_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_12_7_True_G002-136_5,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_12_7_True_G002-136_6,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_13_7_True_G002-136_2,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_13_7_True_G002-136_3,1
