Bin Center,% Frequency
1,81.66198765
2,11.4317799
3,3.267827063
4,1.493542953
5,0.763615946
6,0.404267266
7,0.247052218
8,0.145985401
9,0.08983717
10,0.067377878
11,0.08983717
12,0.022459293
13,0.044918585
14,0.022459293
15,0.033688939
16,0.011229646
17,0.033688939
18,0
19,0.022459293
20,0.044918585
21,0.011229646
22,0.011229646
23,0.022459293
24,0
25,0
26,0
27,0
28,0.011229646
29,0
30,0
31,0
32,0
33,0
34,0
35,0.011229646
36,0.011229646
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0.011229646
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0.011229646
