pubID,psname,pseudogroup,weeks,has_w100b,freq
G002-119,eOD,1,8,True,0.6
G002-119,eOD->core,4,16,True,0.6433566433566433
G002-119,eOD->core,6,24,True,0.5973451327433629
G002-136,eOD,1,8,True,0.696969696969697
G002-136,eOD->core,4,16,True,0.6666666666666666
G002-136,eOD->core,6,24,True,0.70509977827051
G002-145,eOD,1,8,True,0.7297297297297297
G002-145,eOD->core,4,16,True,0.635483870967742
G002-145,eOD->core,6,24,True,0.5995550611790879
G002-230,eOD,1,8,True,0.5909090909090909
G002-230,eOD->core,4,16,True,0.47989276139410186
G002-230,eOD->core,6,24,True,0.40329218106995884
G002-278,eOD->eOD,3,16,True,0.6363636363636364
G002-278,eOD->eOD->core,7,24,True,0.6566265060240963
G002-293,eOD,1,8,True,0.75
G002-293,eOD->core,4,16,True,0.7164179104477612
G002-293,eOD->core,6,24,True,0.70995670995671
G002-302,eOD->eOD,3,16,True,0.7846153846153846
G002-302,eOD->eOD,5,24,True,0.6827586206896552
G002-304,eOD->eOD,3,16,True,0.6476190476190476
G002-304,eOD->eOD->core,7,24,True,0.5652173913043478
G002-341,eOD,1,8,True,1.0
G002-341,eOD->core,4,16,True,0.896551724137931
G002-341,eOD->core,6,24,True,0.88
G002-365,core,2,8,True,1.0
G002-396,core,2,8,True,1.0
G002-427,eOD->eOD,3,16,True,0.6666666666666666
G002-427,eOD->eOD->core,7,24,True,0.6666666666666666
G002-462,eOD->eOD,3,16,True,0.7
G002-477,eOD->eOD,3,16,True,0.6915887850467289
G002-480,eOD,1,8,True,1.0
G002-480,eOD->core,4,16,True,0.8333333333333334
G002-480,eOD->core,6,24,True,0.9230769230769231
G002-493,eOD,1,8,True,0.5
G002-493,eOD->core,4,16,True,0.8
G002-493,eOD->core,6,24,True,0.8
G002-502,eOD->eOD,5,24,True,0.6190476190476191
G002-509,eOD->eOD,5,24,True,0.6258992805755396
G002-516,eOD->eOD,3,16,True,0.8
G002-546,eOD->eOD,3,16,True,0.74
G002-546,eOD->eOD,5,24,True,0.7423312883435583
G002-577,eOD,1,8,True,0.7894736842105263
G002-577,eOD->core,4,16,True,0.7773019271948608
G002-577,eOD->core,6,24,True,0.7518656716417911
G002-595,eOD->eOD,3,16,True,0.5689655172413793
G002-595,eOD->eOD->core,7,24,True,0.40384615384615385
G002-611,core,2,8,True,1.0
G002-616,eOD->eOD,3,16,True,0.6231527093596059
G002-616,eOD->eOD,5,24,True,0.5185185185185185
G002-619,eOD->eOD,3,16,True,0.6461538461538462
G002-619,eOD->eOD,5,24,True,0.5757575757575758
G002-620,eOD->core,4,16,True,0.7272727272727273
G002-620,eOD->core,6,24,True,0.782608695652174
G002-630,eOD,1,8,True,0.6052631578947368
G002-630,eOD->core,4,16,True,0.7211155378486056
G002-630,eOD->core,6,24,True,0.7335423197492164
G002-632,eOD->eOD,3,16,True,0.6714285714285714
G002-678,eOD->eOD,3,16,True,0.6559485530546624
G002-678,eOD->eOD,5,24,True,0.6171516079632465
G002-758,eOD->eOD,3,16,True,0.6344086021505376
G002-758,eOD->eOD,5,24,True,0.6010362694300518
G002-794,core,2,8,True,1.0
G002-796,eOD->eOD,3,16,True,0.5887850467289719
G002-796,eOD->eOD->core,7,24,True,0.5184590690208668
G002-810,eOD->eOD,3,16,True,0.7857142857142857
G002-813,eOD->eOD,3,16,True,0.47619047619047616
G002-813,eOD->eOD,5,24,True,0.31125827814569534
G002-820,eOD,1,8,True,0.6666666666666666
G002-820,eOD->core,4,16,True,0.7477477477477478
G002-820,eOD->core,6,24,True,0.8067226890756303
G002-825,eOD->eOD->core,7,24,True,0.7794871794871795
G002-831,eOD,1,8,True,0.8089887640449438
G002-831,eOD->core,6,24,True,0.7192307692307692
G002-834,eOD->eOD,5,24,True,0.75
G002-852,eOD->eOD,3,16,True,0.6820512820512821
G002-852,eOD->eOD,5,24,True,0.6262019230769231
G002-855,eOD,1,8,True,0.8297872340425532
G002-855,eOD->core,4,16,True,0.7659574468085106
G002-855,eOD->core,6,24,True,0.8823529411764706
G002-866,eOD->eOD,3,16,True,0.7972972972972973
G002-866,eOD->eOD->core,7,24,True,0.7222222222222222
G002-884,eOD->eOD,3,16,True,0.5547945205479452
G002-884,eOD->eOD->core,7,24,True,0.5427046263345195
G002-905,eOD->eOD,3,16,True,1.0
G002-905,eOD->eOD,5,24,True,0.7741935483870968
G002-931,eOD->eOD,3,16,True,0.39058171745152354
G002-931,eOD->eOD->core,7,24,True,0.34966216216216217
G002-943,eOD,1,8,True,0.8
G002-943,eOD->core,4,16,True,0.8061224489795918
G002-943,eOD->core,6,24,True,0.7794871794871795
G002-947,eOD,1,8,True,0.8571428571428571
G002-947,eOD->core,4,16,True,0.7758620689655172
G002-947,eOD->core,6,24,True,0.5851063829787234
G002-957,eOD,1,8,True,0.7083333333333334
G002-957,eOD->core,4,16,True,0.8205128205128205
G002-957,eOD->core,6,24,True,0.6785714285714286
G002-988,eOD->eOD,3,16,True,0.4349593495934959
G002-988,eOD->eOD->core,7,24,True,0.38571428571428573
G002-997,eOD->eOD,3,16,True,0.32524271844660196
G002-997,eOD->eOD->core,7,24,True,0.2620689655172414
