cellid,KD_fix,001428-N276D
G002-119_2_16_Cg28v2_VRC01c_0548,2.85E-07,50
G002-119_2_16_Cg28v2_VRC01c_2068,5.00E-05,50
G002-136_2_16_Cg28v2_VRC01c_0563,5.00E-05,50
G002-136_2_16_Cg28v2_VRC01c_2110,5.00E-05,50
G002-145_2_16_Cg28v2_VRC01c_0509,1.17E-07,7.025
G002-145_2_16_Cg28v2_VRC01c_2025,3.91E-07,50
G002-230_2_16_Cg28v2_VRC01c_0539,7.68E-10,0.003
G002-230_2_16_Cg28v2_VRC01c_2042,1.03E-05,50
G002-293_2_16_Cg28v2_VRC01c_0536,1.44E-07,5.03
G002-293_2_16_Cg28v2_VRC01c_2073,1.07E-07,1.18
G002-341_2_16_Cg28v2_VRC01c_2022,1.29E-05,50
G002-341_2_16_Cg28v2_VRC01c_2078,1.45E-07,29.242
G002-480_2_16_Cg28v2_VRC01c_0546,1.51E-07,3.747
G002-480_2_16_Cg28v2_VRC01c_2104,1.43E-06,50
G002-493_2_16_Cg28v2_VRC01c_0553,1.44E-06,50
G002-577_2_16_Cg28v2_VRC01c_0512,8.23E-08,0.974
G002-577_2_16_Cg28v2_VRC01c_2017,6.53E-08,0.146
G002-620_2_16_Cg28v2_VRC01c_0567,5.00E-05,50
G002-630_2_16_Cg28v2_VRC01c_2015,2.77E-07,50
G002-820_2_16_Cg28v2_VRC01c_0520,1.38E-07,8.021
G002-820_2_16_Cg28v2_VRC01c_2024,3.70E-06,50
G002-855_2_16_Cg28v2_VRC01c_2020,5.00E-05,50
G002-855_2_16_Cg28v2_VRC01c_2026,6.06E-06,50
G002-943_2_16_Cg28v2_VRC01c_0516,1.11E-08,0.023
G002-943_2_16_Cg28v2_VRC01c_2012,1.09E-08,
G002-947_2_16_Cg28v2_VRC01c_0524,5.95E-08,1.57
G002-947_2_16_Cg28v2_VRC01c_2081,9.16E-06,50
G002-957_2_16_Cg28v2_VRC01c_2059,5.00E-05,50
G002-957_2_16_Cg28v2_VRC01c_2061,2.08E-08,0.016
G002-119_2_24_Cg28v2_VRC01c_0521,2.70E-08,0.043
G002-119_2_24_Cg28v2_VRC01c_2033,5.00E-05,50
G002-136_2_24_Cg28v2_VRC01c_0507,1.72E-07,46.432
G002-136_2_24_Cg28v2_VRC01c_2003,2.47E-07,50
G002-145_2_24_Cg28v2_VRC01c_0510,3.37E-05,50
G002-145_2_24_Cg28v2_VRC01c_2004,3.32E-07,50
G002-230_2_24_Cg28v2_VRC01c_0517,2.36E-07,25.058
G002-230_2_24_Cg28v2_VRC01c_2014,1.91E-07,12.382
G002-293_2_24_Cg28v2_VRC01c_0515,5.39E-08,0.042
G002-293_2_24_Cg28v2_VRC01c_2008,1.01E-06,50
G002-341_2_24_Cg28v2_VRC01c_2023,1.02E-08,0.017
G002-341_2_24_Cg28v2_VRC01c_2041,9.72E-08,22.702
G002-480_2_24_Cg28v2_VRC01c_0530,1.87E-06,50
G002-480_2_24_Cg28v2_VRC01c_2031,5.00E-05,50
G002-493_2_24_Cg28v2_VRC01c_0565,3.74E-06,50
G002-577_2_24_Cg28v2_VRC01c_0508,1.74E-07,19.735
G002-577_2_24_Cg28v2_VRC01c_2011,4.21E-07,50
G002-620_2_24_Cg28v2_VRC01c_0554,1.44E-07,6.364
G002-630_2_24_Cg28v2_VRC01c_2002,2.02E-07,50
G002-630_2_24_Cg28v2_VRC01c_2007,2.20E-05,50
G002-820_2_24_Cg28v2_VRC01c_0511,2.14E-08,0.03
G002-820_2_24_Cg28v2_VRC01c_2005,1.84E-07,
G002-831_2_24_Cg28v2_VRC01c_2000,3.48E-08,
G002-831_2_24_Cg28v2_VRC01c_2016,5.00E-05,50
G002-855_2_24_Cg28v2_VRC01c_2028,1.12E-07,0.09
G002-855_2_24_Cg28v2_VRC01c_2029,2.97E-09,0.029
G002-943_2_24_Cg28v2_VRC01c_0506,3.94E-08,0.053
G002-943_2_24_Cg28v2_VRC01c_2001,1.54E-08,0.013
G002-947_2_24_Cg28v2_VRC01c_0529,2.53E-07,50
G002-947_2_24_Cg28v2_VRC01c_2037,1.07E-06,50
G002-957_2_24_Cg28v2_VRC01c_2010,6.77E-08,
G002-957_2_24_Cg28v2_VRC01c_2013,7.01E-08,0.043
