cellid,KD_fix,001428-N276Q
G002-119_2_16_Cg28v2_VRC01c_0548,7.72E-06,50
G002-119_2_16_Cg28v2_VRC01c_2068,5.00E-05,50
G002-136_2_16_Cg28v2_VRC01c_0563,5.00E-05,50
G002-136_2_16_Cg28v2_VRC01c_2110,5.00E-05,50
G002-145_2_16_Cg28v2_VRC01c_0509,2.16E-07,50
G002-145_2_16_Cg28v2_VRC01c_2025,5.00E-05,50
G002-230_2_16_Cg28v2_VRC01c_0539,1.34E-07,0.468
G002-230_2_16_Cg28v2_VRC01c_2042,5.00E-05,50
G002-293_2_16_Cg28v2_VRC01c_0536,3.37E-07,37.771
G002-293_2_16_Cg28v2_VRC01c_2073,3.34E-07,43.456
G002-341_2_16_Cg28v2_VRC01c_2022,5.00E-05,50
G002-341_2_16_Cg28v2_VRC01c_2078,2.15E-06,50
G002-480_2_16_Cg28v2_VRC01c_0546,2.36E-07,11.778
G002-480_2_16_Cg28v2_VRC01c_2104,1.29E-06,50
G002-493_2_16_Cg28v2_VRC01c_0553,8.30E-06,50
G002-577_2_16_Cg28v2_VRC01c_0512,6.43E-06,50
G002-577_2_16_Cg28v2_VRC01c_2017,5.70E-07,50
G002-620_2_16_Cg28v2_VRC01c_0567,5.00E-05,50
G002-630_2_16_Cg28v2_VRC01c_2015,4.96E-06,50
G002-820_2_16_Cg28v2_VRC01c_0520,2.90E-06,50
G002-820_2_16_Cg28v2_VRC01c_2024,5.00E-05,50
G002-855_2_16_Cg28v2_VRC01c_2020,5.00E-05,50
G002-855_2_16_Cg28v2_VRC01c_2026,2.72E-05,50
G002-943_2_16_Cg28v2_VRC01c_0516,1.06E-07,0.378
G002-943_2_16_Cg28v2_VRC01c_2012,9.39E-08,
G002-947_2_16_Cg28v2_VRC01c_0524,2.38E-07,15.639
G002-947_2_16_Cg28v2_VRC01c_2081,5.00E-05,50
G002-957_2_16_Cg28v2_VRC01c_2059,5.00E-05,50
G002-957_2_16_Cg28v2_VRC01c_2061,5.24E-07,50
G002-119_2_24_Cg28v2_VRC01c_0521,3.37E-07,50
G002-119_2_24_Cg28v2_VRC01c_2033,5.00E-05,50
G002-136_2_24_Cg28v2_VRC01c_0507,5.62E-06,50
G002-136_2_24_Cg28v2_VRC01c_2003,5.00E-05,50
G002-145_2_24_Cg28v2_VRC01c_0510,5.00E-05,50
G002-145_2_24_Cg28v2_VRC01c_2004,3.13E-06,50
G002-230_2_24_Cg28v2_VRC01c_0517,1.15E-05,50
G002-230_2_24_Cg28v2_VRC01c_2014,4.21E-07,50
G002-293_2_24_Cg28v2_VRC01c_0515,7.14E-07,50
G002-293_2_24_Cg28v2_VRC01c_2008,5.00E-05,50
G002-341_2_24_Cg28v2_VRC01c_2023,3.42E-07,50
G002-341_2_24_Cg28v2_VRC01c_2041,1.75E-07,50
G002-480_2_24_Cg28v2_VRC01c_0530,8.29E-06,50
G002-480_2_24_Cg28v2_VRC01c_2031,5.00E-05,50
G002-493_2_24_Cg28v2_VRC01c_0565,5.00E-05,50
G002-577_2_24_Cg28v2_VRC01c_0508,7.37E-07,50
G002-577_2_24_Cg28v2_VRC01c_2011,3.69E-06,50
G002-620_2_24_Cg28v2_VRC01c_0554,3.15E-07,50
G002-630_2_24_Cg28v2_VRC01c_2002,6.56E-06,50
G002-630_2_24_Cg28v2_VRC01c_2007,5.00E-05,50
G002-820_2_24_Cg28v2_VRC01c_0511,1.99E-07,17.798
G002-820_2_24_Cg28v2_VRC01c_2005,3.40E-06,
G002-831_2_24_Cg28v2_VRC01c_2000,1.91E-07,
G002-831_2_24_Cg28v2_VRC01c_2016,5.00E-05,50
G002-855_2_24_Cg28v2_VRC01c_2028,3.46E-07,46.319
G002-855_2_24_Cg28v2_VRC01c_2029,1.97E-06,50
G002-943_2_24_Cg28v2_VRC01c_0506,3.21E-07,6.154
G002-943_2_24_Cg28v2_VRC01c_2001,1.34E-07,11.335
G002-947_2_24_Cg28v2_VRC01c_0529,1.64E-07,50
G002-947_2_24_Cg28v2_VRC01c_2037,5.00E-05,50
G002-957_2_24_Cg28v2_VRC01c_2010,2.98E-07,
G002-957_2_24_Cg28v2_VRC01c_2013,3.02E-07,50
