cellid,KD_fix,001428-T278M
G002-119_2_16_Cg28v2_VRC01c_0548,2.80E-07,50
G002-119_2_16_Cg28v2_VRC01c_2068,5.00E-05,50
G002-136_2_16_Cg28v2_VRC01c_0563,5.00E-05,50
G002-136_2_16_Cg28v2_VRC01c_2110,5.00E-05,50
G002-145_2_16_Cg28v2_VRC01c_0509,1.22E-07,4.732
G002-145_2_16_Cg28v2_VRC01c_2025,5.79E-07,50
G002-230_2_16_Cg28v2_VRC01c_0539,1.40E-08,0.008
G002-230_2_16_Cg28v2_VRC01c_2042,5.47E-06,50
G002-293_2_16_Cg28v2_VRC01c_0536,6.71E-08,0.194
G002-293_2_16_Cg28v2_VRC01c_2073,1.06E-07,0.32
G002-341_2_16_Cg28v2_VRC01c_2022,9.77E-06,50
G002-341_2_16_Cg28v2_VRC01c_2078,1.28E-07,8.729
G002-480_2_16_Cg28v2_VRC01c_0546,9.05E-08,0.197
G002-480_2_16_Cg28v2_VRC01c_2104,2.97E-07,50
G002-493_2_16_Cg28v2_VRC01c_0553,4.48E-07,29.436
G002-577_2_16_Cg28v2_VRC01c_0512,1.39E-07,9.645
G002-577_2_16_Cg28v2_VRC01c_2017,1.78E-07,3.547
G002-620_2_16_Cg28v2_VRC01c_0567,5.00E-05,50
G002-630_2_16_Cg28v2_VRC01c_2015,2.99E-07,50
G002-820_2_16_Cg28v2_VRC01c_0520,2.65E-07,45.085
G002-820_2_16_Cg28v2_VRC01c_2024,2.24E-06,43.214
G002-855_2_16_Cg28v2_VRC01c_2020,3.14E-05,50
G002-855_2_16_Cg28v2_VRC01c_2026,3.71E-06,50
G002-943_2_16_Cg28v2_VRC01c_0516,4.99E-08,0.014
G002-943_2_16_Cg28v2_VRC01c_2012,1.68E-08,
G002-947_2_16_Cg28v2_VRC01c_0524,3.12E-08,0.055
G002-947_2_16_Cg28v2_VRC01c_2081,3.74E-06,50
G002-957_2_16_Cg28v2_VRC01c_2059,5.00E-05,50
G002-957_2_16_Cg28v2_VRC01c_2061,2.26E-07,6.831
G002-119_2_24_Cg28v2_VRC01c_0521,1.77E-07,38.455
G002-119_2_24_Cg28v2_VRC01c_2033,5.00E-05,50
G002-136_2_24_Cg28v2_VRC01c_0507,5.30E-07,28.808
G002-136_2_24_Cg28v2_VRC01c_2003,3.08E-07,50
G002-145_2_24_Cg28v2_VRC01c_0510,8.50E-07,50
G002-145_2_24_Cg28v2_VRC01c_2004,1.84E-07,50
G002-230_2_24_Cg28v2_VRC01c_0517,3.47E-07,50
G002-230_2_24_Cg28v2_VRC01c_2014,6.75E-08,0.194
G002-293_2_24_Cg28v2_VRC01c_0515,1.35E-07,2.315
G002-293_2_24_Cg28v2_VRC01c_2008,7.10E-06,50
G002-341_2_24_Cg28v2_VRC01c_2023,9.60E-08,0.138
G002-341_2_24_Cg28v2_VRC01c_2041,7.67E-08,3.36
G002-480_2_24_Cg28v2_VRC01c_0530,4.90E-07,50
G002-480_2_24_Cg28v2_VRC01c_2031,5.00E-05,50
G002-493_2_24_Cg28v2_VRC01c_0565,8.69E-06,50
G002-577_2_24_Cg28v2_VRC01c_0508,2.52E-07,8.028
G002-577_2_24_Cg28v2_VRC01c_2011,3.47E-07,50
G002-620_2_24_Cg28v2_VRC01c_0554,1.97E-07,9.962
G002-630_2_24_Cg28v2_VRC01c_2002,1.68E-07,12.6
G002-630_2_24_Cg28v2_VRC01c_2007,1.77E-06,50
G002-820_2_24_Cg28v2_VRC01c_0511,1.20E-08,0.006
G002-820_2_24_Cg28v2_VRC01c_2005,1.03E-07,
G002-831_2_24_Cg28v2_VRC01c_2000,5.63E-08,
G002-831_2_24_Cg28v2_VRC01c_2016,5.00E-05,50
G002-855_2_24_Cg28v2_VRC01c_2028,9.44E-08,0.053
G002-855_2_24_Cg28v2_VRC01c_2029,2.65E-07,50
G002-943_2_24_Cg28v2_VRC01c_0506,5.41E-08,0.035
G002-943_2_24_Cg28v2_VRC01c_2001,2.48E-08,0.036
G002-947_2_24_Cg28v2_VRC01c_0529,1.57E-07,49.592
G002-947_2_24_Cg28v2_VRC01c_2037,1.09E-06,50
G002-957_2_24_Cg28v2_VRC01c_2010,1.09E-07,
G002-957_2_24_Cg28v2_VRC01c_2013,1.04E-07,0.257
