cellid,KD_fix,1HD2-N276D
G002-119_2_16_Cg28v2_VRC01c_0548,1.12E-06,10
G002-119_2_16_Cg28v2_VRC01c_2068,4.45E-08,50
G002-136_2_16_Cg28v2_VRC01c_0563,5.00E-05,50
G002-136_2_16_Cg28v2_VRC01c_2110,5.00E-05,50
G002-145_2_16_Cg28v2_VRC01c_0509,3.84E-08,5.197
G002-145_2_16_Cg28v2_VRC01c_2025,1.00E-07,50
G002-230_2_16_Cg28v2_VRC01c_0539,7.04E-08,1.55
G002-230_2_16_Cg28v2_VRC01c_2042,5.00E-05,50
G002-293_2_16_Cg28v2_VRC01c_0536,3.92E-08,4.464
G002-293_2_16_Cg28v2_VRC01c_2073,1.04E-07,17.561
G002-341_2_16_Cg28v2_VRC01c_2022,1.91E-06,50
G002-341_2_16_Cg28v2_VRC01c_2078,2.43E-08,0.061
G002-480_2_16_Cg28v2_VRC01c_0546,9.03E-09,0.005
G002-480_2_16_Cg28v2_VRC01c_2104,6.00E-06,50
G002-493_2_16_Cg28v2_VRC01c_0553,2.49E-06,50
G002-577_2_16_Cg28v2_VRC01c_0512,1.83E-08,0.524
G002-577_2_16_Cg28v2_VRC01c_2017,1.55E-07,28.169
G002-620_2_16_Cg28v2_VRC01c_0567,5.00E-05,50
G002-630_2_16_Cg28v2_VRC01c_2015,2.31E-08,1.167
G002-820_2_16_Cg28v2_VRC01c_0520,2.81E-08,0.209
G002-820_2_16_Cg28v2_VRC01c_2024,8.81E-08,50
G002-855_2_16_Cg28v2_VRC01c_2020,1.68E-07,50
G002-855_2_16_Cg28v2_VRC01c_2026,8.53E-07,50
G002-943_2_16_Cg28v2_VRC01c_0516,4.30E-08,0.037
G002-943_2_16_Cg28v2_VRC01c_2012,3.34E-08,
G002-947_2_16_Cg28v2_VRC01c_0524,5.34E-08,50
G002-947_2_16_Cg28v2_VRC01c_2081,5.83E-07,50
G002-957_2_16_Cg28v2_VRC01c_2059,3.95E-07,50
G002-957_2_16_Cg28v2_VRC01c_2061,2.31E-07,50
G002-119_2_24_Cg28v2_VRC01c_0521,2.11E-07,50
G002-119_2_24_Cg28v2_VRC01c_2033,5.00E-05,50
G002-136_2_24_Cg28v2_VRC01c_0507,1.46E-07,3.414
G002-136_2_24_Cg28v2_VRC01c_2003,1.39E-07,4.256
G002-145_2_24_Cg28v2_VRC01c_0510,4.03E-08,15.387
G002-145_2_24_Cg28v2_VRC01c_2004,9.44E-09,0.003
G002-230_2_24_Cg28v2_VRC01c_0517,1.18E-07,50
G002-230_2_24_Cg28v2_VRC01c_2014,4.97E-08,0.512
G002-293_2_24_Cg28v2_VRC01c_0515,4.68E-08,0.159
G002-293_2_24_Cg28v2_VRC01c_2008,9.57E-08,40.971
G002-341_2_24_Cg28v2_VRC01c_2023,1.14E-08,0.018
G002-341_2_24_Cg28v2_VRC01c_2041,2.17E-08,0.061
G002-480_2_24_Cg28v2_VRC01c_0530,1.07E-07,28.067
G002-480_2_24_Cg28v2_VRC01c_2031,5.00E-05,50
G002-493_2_24_Cg28v2_VRC01c_0565,1.02E-05,50
G002-577_2_24_Cg28v2_VRC01c_0508,4.09E-08,0.072
G002-577_2_24_Cg28v2_VRC01c_2011,1.53E-08,0.033
G002-620_2_24_Cg28v2_VRC01c_0554,6.50E-08,44.894
G002-630_2_24_Cg28v2_VRC01c_2002,2.54E-08,2.366
G002-630_2_24_Cg28v2_VRC01c_2007,3.32E-07,50
G002-820_2_24_Cg28v2_VRC01c_0511,3.15E-08,0.017
G002-820_2_24_Cg28v2_VRC01c_2005,1.80E-08,
G002-831_2_24_Cg28v2_VRC01c_2000,1.48E-08,
G002-831_2_24_Cg28v2_VRC01c_2016,5.00E-05,50
G002-855_2_24_Cg28v2_VRC01c_2028,3.80E-08,0.224
G002-855_2_24_Cg28v2_VRC01c_2029,6.60E-08,0.107
G002-943_2_24_Cg28v2_VRC01c_0506,2.37E-08,0.021
G002-943_2_24_Cg28v2_VRC01c_2001,2.68E-09,0.008
G002-947_2_24_Cg28v2_VRC01c_0529,3.11E-07,50
G002-947_2_24_Cg28v2_VRC01c_2037,1.00E-07,50
G002-957_2_24_Cg28v2_VRC01c_2010,7.34E-08,
G002-957_2_24_Cg28v2_VRC01c_2013,3.77E-08,0.502
