cellid,KD_fix,1HD2-T278M
G002-119_2_16_Cg28v2_VRC01c_0548,9.64E-06,50
G002-119_2_16_Cg28v2_VRC01c_2068,3.09E-08,46.579
G002-136_2_16_Cg28v2_VRC01c_0563,5.00E-05,50
G002-136_2_16_Cg28v2_VRC01c_2110,5.00E-05,50
G002-145_2_16_Cg28v2_VRC01c_0509,1.86E-07,2.358
G002-145_2_16_Cg28v2_VRC01c_2025,5.62E-08,50
G002-230_2_16_Cg28v2_VRC01c_0539,9.23E-08,23.427
G002-230_2_16_Cg28v2_VRC01c_2042,1.59E-05,50
G002-293_2_16_Cg28v2_VRC01c_0536,6.86E-08,0.208
G002-293_2_16_Cg28v2_VRC01c_2073,8.19E-08,5.57
G002-341_2_16_Cg28v2_VRC01c_2022,4.89E-07,50
G002-341_2_16_Cg28v2_VRC01c_2078,2.36E-08,0.197
G002-480_2_16_Cg28v2_VRC01c_0546,1.15E-08,0.004
G002-480_2_16_Cg28v2_VRC01c_2104,6.70E-06,50
G002-493_2_16_Cg28v2_VRC01c_0553,1.83E-07,50
G002-577_2_16_Cg28v2_VRC01c_0512,9.46E-08,0.989
G002-577_2_16_Cg28v2_VRC01c_2017,1.04E-07,50
G002-620_2_16_Cg28v2_VRC01c_0567,5.00E-05,50
G002-630_2_16_Cg28v2_VRC01c_2015,3.55E-08,0.926
G002-820_2_16_Cg28v2_VRC01c_0520,1.27E-07,1.996
G002-820_2_16_Cg28v2_VRC01c_2024,8.23E-08,50
G002-855_2_16_Cg28v2_VRC01c_2020,7.48E-08,50
G002-855_2_16_Cg28v2_VRC01c_2026,8.97E-08,50
G002-943_2_16_Cg28v2_VRC01c_0516,3.35E-08,0.034
G002-943_2_16_Cg28v2_VRC01c_2012,3.07E-08,
G002-947_2_16_Cg28v2_VRC01c_0524,7.11E-08,1.566
G002-947_2_16_Cg28v2_VRC01c_2081,1.07E-06,50
G002-957_2_16_Cg28v2_VRC01c_2059,5.00E-05,50
G002-957_2_16_Cg28v2_VRC01c_2061,6.26E-07,50
G002-119_2_24_Cg28v2_VRC01c_0521,4.35E-07,50
G002-119_2_24_Cg28v2_VRC01c_2033,5.00E-05,50
G002-136_2_24_Cg28v2_VRC01c_0507,3.18E-07,2.688
G002-136_2_24_Cg28v2_VRC01c_2003,1.18E-07,3.857
G002-145_2_24_Cg28v2_VRC01c_0510,6.24E-08,1.17
G002-145_2_24_Cg28v2_VRC01c_2004,1.26E-08,0.005
G002-230_2_24_Cg28v2_VRC01c_0517,1.33E-07,50
G002-230_2_24_Cg28v2_VRC01c_2014,2.35E-08,0.018
G002-293_2_24_Cg28v2_VRC01c_0515,7.00E-08,0.293
G002-293_2_24_Cg28v2_VRC01c_2008,4.72E-08,50
G002-341_2_24_Cg28v2_VRC01c_2023,3.51E-08,0.035
G002-341_2_24_Cg28v2_VRC01c_2041,2.12E-08,0.016
G002-480_2_24_Cg28v2_VRC01c_0530,9.73E-08,50
G002-480_2_24_Cg28v2_VRC01c_2031,5.00E-05,50
G002-493_2_24_Cg28v2_VRC01c_0565,5.00E-05,50
G002-577_2_24_Cg28v2_VRC01c_0508,3.42E-08,0.041
G002-577_2_24_Cg28v2_VRC01c_2011,1.16E-08,0.018
G002-620_2_24_Cg28v2_VRC01c_0554,3.26E-07,44.926
G002-630_2_24_Cg28v2_VRC01c_2002,2.13E-08,0.612
G002-630_2_24_Cg28v2_VRC01c_2007,3.80E-06,50
G002-820_2_24_Cg28v2_VRC01c_0511,8.97E-09,0.004
G002-820_2_24_Cg28v2_VRC01c_2005,2.70E-08,
G002-831_2_24_Cg28v2_VRC01c_2000,1.66E-08,
G002-831_2_24_Cg28v2_VRC01c_2016,5.00E-05,50
G002-855_2_24_Cg28v2_VRC01c_2028,2.91E-08,0.04
G002-855_2_24_Cg28v2_VRC01c_2029,1.30E-07,11.12
G002-943_2_24_Cg28v2_VRC01c_0506,5.27E-08,0.023
G002-943_2_24_Cg28v2_VRC01c_2001,3.89E-09,0.012
G002-947_2_24_Cg28v2_VRC01c_0529,3.13E-08,44.126
G002-947_2_24_Cg28v2_VRC01c_2037,9.93E-08,50
G002-957_2_24_Cg28v2_VRC01c_2010,4.29E-08,
G002-957_2_24_Cg28v2_VRC01c_2013,4.40E-08,0.11
