cellid,Koff,001428-N276D
G002-119_2_16_Cg28v2_VRC01c_0548,1.46E-03,50
G002-119_2_16_Cg28v2_VRC01c_2068,,50
G002-136_2_16_Cg28v2_VRC01c_0563,,50
G002-136_2_16_Cg28v2_VRC01c_2110,,50
G002-145_2_16_Cg28v2_VRC01c_0509,1.13E-03,7.025
G002-145_2_16_Cg28v2_VRC01c_2025,1.65E-03,50
G002-230_2_16_Cg28v2_VRC01c_0539,1.00E-05,0.003
G002-230_2_16_Cg28v2_VRC01c_2042,2.09E-02,50
G002-293_2_16_Cg28v2_VRC01c_0536,8.95E-04,5.03
G002-293_2_16_Cg28v2_VRC01c_2073,5.19E-04,1.18
G002-341_2_16_Cg28v2_VRC01c_2022,2.49E-02,50
G002-341_2_16_Cg28v2_VRC01c_2078,1.44E-03,29.242
G002-480_2_16_Cg28v2_VRC01c_0546,7.37E-04,3.747
G002-480_2_16_Cg28v2_VRC01c_2104,5.98E-03,50
G002-493_2_16_Cg28v2_VRC01c_0553,4.04E-03,50
G002-577_2_16_Cg28v2_VRC01c_0512,7.75E-04,0.974
G002-577_2_16_Cg28v2_VRC01c_2017,2.54E-04,0.146
G002-620_2_16_Cg28v2_VRC01c_0567,6.00E-01,50
G002-630_2_16_Cg28v2_VRC01c_2015,1.64E-03,50
G002-820_2_16_Cg28v2_VRC01c_0520,1.13E-03,8.021
G002-820_2_16_Cg28v2_VRC01c_2024,1.86E-02,50
G002-855_2_16_Cg28v2_VRC01c_2020,6.00E-01,50
G002-855_2_16_Cg28v2_VRC01c_2026,2.71E-02,50
G002-943_2_16_Cg28v2_VRC01c_0516,9.70E-05,0.023
G002-943_2_16_Cg28v2_VRC01c_2012,1.22E-04,
G002-947_2_16_Cg28v2_VRC01c_0524,2.71E-04,1.57
G002-947_2_16_Cg28v2_VRC01c_2081,5.09E-02,50
G002-957_2_16_Cg28v2_VRC01c_2059,6.00E-01,50
G002-957_2_16_Cg28v2_VRC01c_2061,6.77E-05,0.016
G002-119_2_24_Cg28v2_VRC01c_0521,3.11E-04,0.043
G002-119_2_24_Cg28v2_VRC01c_2033,6.00E-01,50
G002-136_2_24_Cg28v2_VRC01c_0507,1.06E-03,46.432
G002-136_2_24_Cg28v2_VRC01c_2003,9.98E-04,50
G002-145_2_24_Cg28v2_VRC01c_0510,1.54E-01,50
G002-145_2_24_Cg28v2_VRC01c_2004,1.64E-03,50
G002-230_2_24_Cg28v2_VRC01c_0517,1.22E-03,25.058
G002-230_2_24_Cg28v2_VRC01c_2014,6.73E-04,12.382
G002-293_2_24_Cg28v2_VRC01c_0515,3.34E-04,0.042
G002-293_2_24_Cg28v2_VRC01c_2008,3.45E-03,50
G002-341_2_24_Cg28v2_VRC01c_2023,9.19E-05,0.017
G002-341_2_24_Cg28v2_VRC01c_2041,9.43E-04,22.702
G002-480_2_24_Cg28v2_VRC01c_0530,1.02E-02,50
G002-480_2_24_Cg28v2_VRC01c_2031,6.00E-01,50
G002-493_2_24_Cg28v2_VRC01c_0565,1.16E-02,50
G002-577_2_24_Cg28v2_VRC01c_0508,5.73E-04,19.735
G002-577_2_24_Cg28v2_VRC01c_2011,2.20E-03,50
G002-620_2_24_Cg28v2_VRC01c_0554,1.06E-03,6.364
G002-630_2_24_Cg28v2_VRC01c_2002,1.66E-03,50
G002-630_2_24_Cg28v2_VRC01c_2007,2.49E-02,50
G002-820_2_24_Cg28v2_VRC01c_0511,1.83E-04,0.03
G002-820_2_24_Cg28v2_VRC01c_2005,8.83E-04,
G002-831_2_24_Cg28v2_VRC01c_2000,3.77E-04,
G002-831_2_24_Cg28v2_VRC01c_2016,6.00E-01,50
G002-855_2_24_Cg28v2_VRC01c_2028,3.43E-04,0.09
G002-855_2_24_Cg28v2_VRC01c_2029,1.00E-05,0.029
G002-943_2_24_Cg28v2_VRC01c_0506,1.90E-04,0.053
G002-943_2_24_Cg28v2_VRC01c_2001,1.56E-04,0.013
G002-947_2_24_Cg28v2_VRC01c_0529,2.31E-03,50
G002-947_2_24_Cg28v2_VRC01c_2037,2.76E-03,50
G002-957_2_24_Cg28v2_VRC01c_2010,4.88E-04,
G002-957_2_24_Cg28v2_VRC01c_2013,3.05E-04,0.043
