cellid,Koff,001428-N276Q
G002-119_2_16_Cg28v2_VRC01c_0548,4.25E-02,50
G002-119_2_16_Cg28v2_VRC01c_2068,6.00E-01,50
G002-136_2_16_Cg28v2_VRC01c_0563,6.00E-01,50
G002-136_2_16_Cg28v2_VRC01c_2110,6.00E-01,50
G002-145_2_16_Cg28v2_VRC01c_0509,1.98E-03,50
G002-145_2_16_Cg28v2_VRC01c_2025,6.00E-01,50
G002-230_2_16_Cg28v2_VRC01c_0539,8.17E-04,0.468
G002-230_2_16_Cg28v2_VRC01c_2042,6.00E-01,50
G002-293_2_16_Cg28v2_VRC01c_0536,1.54E-03,37.771
G002-293_2_16_Cg28v2_VRC01c_2073,1.23E-03,43.456
G002-341_2_16_Cg28v2_VRC01c_2022,6.00E-01,50
G002-341_2_16_Cg28v2_VRC01c_2078,1.29E-02,50
G002-480_2_16_Cg28v2_VRC01c_0546,1.06E-03,11.778
G002-480_2_16_Cg28v2_VRC01c_2104,4.74E-03,50
G002-493_2_16_Cg28v2_VRC01c_0553,2.41E-02,50
G002-577_2_16_Cg28v2_VRC01c_0512,3.02E-02,50
G002-577_2_16_Cg28v2_VRC01c_2017,2.07E-03,50
G002-620_2_16_Cg28v2_VRC01c_0567,6.00E-01,50
G002-630_2_16_Cg28v2_VRC01c_2015,3.33E-02,50
G002-820_2_16_Cg28v2_VRC01c_0520,1.23E-02,50
G002-820_2_16_Cg28v2_VRC01c_2024,6.00E-01,50
G002-855_2_16_Cg28v2_VRC01c_2020,6.00E-01,50
G002-855_2_16_Cg28v2_VRC01c_2026,8.56E-02,50
G002-943_2_16_Cg28v2_VRC01c_0516,4.19E-04,0.378
G002-943_2_16_Cg28v2_VRC01c_2012,7.24E-04,
G002-947_2_16_Cg28v2_VRC01c_0524,6.63E-04,15.639
G002-947_2_16_Cg28v2_VRC01c_2081,6.00E-01,50
G002-957_2_16_Cg28v2_VRC01c_2059,6.00E-01,50
G002-957_2_16_Cg28v2_VRC01c_2061,1.11E-03,50
G002-119_2_24_Cg28v2_VRC01c_0521,1.94E-03,50
G002-119_2_24_Cg28v2_VRC01c_2033,6.00E-01,50
G002-136_2_24_Cg28v2_VRC01c_0507,1.26E-02,50
G002-136_2_24_Cg28v2_VRC01c_2003,6.00E-01,50
G002-145_2_24_Cg28v2_VRC01c_0510,2.32E-01,50
G002-145_2_24_Cg28v2_VRC01c_2004,1.41E-02,50
G002-230_2_24_Cg28v2_VRC01c_0517,3.55E-02,50
G002-230_2_24_Cg28v2_VRC01c_2014,1.08E-03,50
G002-293_2_24_Cg28v2_VRC01c_0515,3.74E-03,50
G002-293_2_24_Cg28v2_VRC01c_2008,6.00E-01,50
G002-341_2_24_Cg28v2_VRC01c_2023,1.80E-03,50
G002-341_2_24_Cg28v2_VRC01c_2041,1.64E-03,50
G002-480_2_24_Cg28v2_VRC01c_0530,6.23E-02,50
G002-480_2_24_Cg28v2_VRC01c_2031,6.00E-01,50
G002-493_2_24_Cg28v2_VRC01c_0565,6.00E-01,50
G002-577_2_24_Cg28v2_VRC01c_0508,2.20E-03,50
G002-577_2_24_Cg28v2_VRC01c_2011,1.37E-02,50
G002-620_2_24_Cg28v2_VRC01c_0554,1.74E-03,50
G002-630_2_24_Cg28v2_VRC01c_2002,2.23E-02,50
G002-630_2_24_Cg28v2_VRC01c_2007,6.00E-01,50
G002-820_2_24_Cg28v2_VRC01c_0511,1.15E-03,17.798
G002-820_2_24_Cg28v2_VRC01c_2005,1.45E-02,
G002-831_2_24_Cg28v2_VRC01c_2000,1.22E-03,
G002-831_2_24_Cg28v2_VRC01c_2016,6.00E-01,50
G002-855_2_24_Cg28v2_VRC01c_2028,1.05E-03,46.319
G002-855_2_24_Cg28v2_VRC01c_2029,4.50E-03,50
G002-943_2_24_Cg28v2_VRC01c_0506,9.58E-04,6.154
G002-943_2_24_Cg28v2_VRC01c_2001,6.96E-04,11.335
G002-947_2_24_Cg28v2_VRC01c_0529,1.41E-03,50
G002-947_2_24_Cg28v2_VRC01c_2037,6.00E-01,50
G002-957_2_24_Cg28v2_VRC01c_2010,1.79E-03,
G002-957_2_24_Cg28v2_VRC01c_2013,1.29E-03,50
