cellid,Koff,001428-T278M
G002-119_2_16_Cg28v2_VRC01c_0548,1.13E-03,50
G002-119_2_16_Cg28v2_VRC01c_2068,6.00E-01,50
G002-136_2_16_Cg28v2_VRC01c_0563,6.00E-01,50
G002-136_2_16_Cg28v2_VRC01c_2110,6.00E-01,50
G002-145_2_16_Cg28v2_VRC01c_0509,1.20E-03,4.732
G002-145_2_16_Cg28v2_VRC01c_2025,2.13E-03,50
G002-230_2_16_Cg28v2_VRC01c_0539,6.55E-05,0.008
G002-230_2_16_Cg28v2_VRC01c_2042,9.26E-03,50
G002-293_2_16_Cg28v2_VRC01c_0536,4.29E-04,0.194
G002-293_2_16_Cg28v2_VRC01c_2073,5.03E-04,0.32
G002-341_2_16_Cg28v2_VRC01c_2022,2.22E-02,50
G002-341_2_16_Cg28v2_VRC01c_2078,1.41E-03,8.729
G002-480_2_16_Cg28v2_VRC01c_0546,4.22E-04,0.197
G002-480_2_16_Cg28v2_VRC01c_2104,9.78E-04,50
G002-493_2_16_Cg28v2_VRC01c_0553,8.86E-04,29.436
G002-577_2_16_Cg28v2_VRC01c_0512,1.27E-03,9.645
G002-577_2_16_Cg28v2_VRC01c_2017,4.73E-04,3.547
G002-620_2_16_Cg28v2_VRC01c_0567,6.00E-01,50
G002-630_2_16_Cg28v2_VRC01c_2015,2.09E-03,50
G002-820_2_16_Cg28v2_VRC01c_0520,1.91E-03,45.085
G002-820_2_16_Cg28v2_VRC01c_2024,9.19E-03,43.214
G002-855_2_16_Cg28v2_VRC01c_2020,8.44E-02,50
G002-855_2_16_Cg28v2_VRC01c_2026,1.28E-02,50
G002-943_2_16_Cg28v2_VRC01c_0516,2.36E-04,0.014
G002-943_2_16_Cg28v2_VRC01c_2012,1.30E-04,
G002-947_2_16_Cg28v2_VRC01c_0524,1.31E-04,0.055
G002-947_2_16_Cg28v2_VRC01c_2081,2.70E-02,50
G002-957_2_16_Cg28v2_VRC01c_2059,6.00E-01,50
G002-957_2_16_Cg28v2_VRC01c_2061,4.37E-04,6.831
G002-119_2_24_Cg28v2_VRC01c_0521,1.12E-03,38.455
G002-119_2_24_Cg28v2_VRC01c_2033,6.00E-01,50
G002-136_2_24_Cg28v2_VRC01c_0507,1.40E-03,28.808
G002-136_2_24_Cg28v2_VRC01c_2003,1.08E-03,50
G002-145_2_24_Cg28v2_VRC01c_0510,5.24E-03,50
G002-145_2_24_Cg28v2_VRC01c_2004,1.20E-03,50
G002-230_2_24_Cg28v2_VRC01c_0517,1.22E-03,50
G002-230_2_24_Cg28v2_VRC01c_2014,1.89E-04,0.194
G002-293_2_24_Cg28v2_VRC01c_0515,7.02E-04,2.315
G002-293_2_24_Cg28v2_VRC01c_2008,1.22E-02,50
G002-341_2_24_Cg28v2_VRC01c_2023,2.74E-04,0.138
G002-341_2_24_Cg28v2_VRC01c_2041,9.01E-04,3.36
G002-480_2_24_Cg28v2_VRC01c_0530,3.91E-03,50
G002-480_2_24_Cg28v2_VRC01c_2031,,50
G002-493_2_24_Cg28v2_VRC01c_0565,3.88E-02,50
G002-577_2_24_Cg28v2_VRC01c_0508,6.25E-04,8.028
G002-577_2_24_Cg28v2_VRC01c_2011,1.60E-03,50
G002-620_2_24_Cg28v2_VRC01c_0554,1.24E-03,9.962
G002-630_2_24_Cg28v2_VRC01c_2002,1.39E-03,12.6
G002-630_2_24_Cg28v2_VRC01c_2007,4.44E-03,50
G002-820_2_24_Cg28v2_VRC01c_0511,9.32E-05,0.006
G002-820_2_24_Cg28v2_VRC01c_2005,5.16E-04,
G002-831_2_24_Cg28v2_VRC01c_2000,3.72E-04,
G002-831_2_24_Cg28v2_VRC01c_2016,6.00E-01,50
G002-855_2_24_Cg28v2_VRC01c_2028,3.12E-04,0.053
G002-855_2_24_Cg28v2_VRC01c_2029,6.17E-04,50
G002-943_2_24_Cg28v2_VRC01c_0506,1.62E-04,0.035
G002-943_2_24_Cg28v2_VRC01c_2001,1.46E-04,0.036
G002-947_2_24_Cg28v2_VRC01c_0529,1.07E-03,49.592
G002-947_2_24_Cg28v2_VRC01c_2037,2.39E-03,50
G002-957_2_24_Cg28v2_VRC01c_2010,6.37E-04,
G002-957_2_24_Cg28v2_VRC01c_2013,2.89E-04,0.257
