cellid,Koff,1HD2-T278M
G002-119_2_16_Cg28v2_VRC01c_0548,5.03E-02,50
G002-119_2_16_Cg28v2_VRC01c_2068,6.99E-04,46.579
G002-136_2_16_Cg28v2_VRC01c_0563,6.00E-01,50
G002-136_2_16_Cg28v2_VRC01c_2110,6.00E-01,50
G002-145_2_16_Cg28v2_VRC01c_0509,2.31E-03,2.358
G002-145_2_16_Cg28v2_VRC01c_2025,1.69E-03,50
G002-230_2_16_Cg28v2_VRC01c_0539,1.33E-03,23.427
G002-230_2_16_Cg28v2_VRC01c_2042,1.72E-01,50
G002-293_2_16_Cg28v2_VRC01c_0536,9.79E-04,0.208
G002-293_2_16_Cg28v2_VRC01c_2073,7.93E-04,5.57
G002-341_2_16_Cg28v2_VRC01c_2022,4.67E-03,50
G002-341_2_16_Cg28v2_VRC01c_2078,3.42E-04,0.197
G002-480_2_16_Cg28v2_VRC01c_0546,3.13E-04,0.004
G002-480_2_16_Cg28v2_VRC01c_2104,3.60E-02,50
G002-493_2_16_Cg28v2_VRC01c_0553,1.57E-03,50
G002-577_2_16_Cg28v2_VRC01c_0512,1.51E-03,0.989
G002-577_2_16_Cg28v2_VRC01c_2017,3.76E-04,50
G002-620_2_16_Cg28v2_VRC01c_0567,6.00E-01,50
G002-630_2_16_Cg28v2_VRC01c_2015,4.47E-04,0.926
G002-820_2_16_Cg28v2_VRC01c_0520,1.51E-03,1.996
G002-820_2_16_Cg28v2_VRC01c_2024,7.67E-04,50
G002-855_2_16_Cg28v2_VRC01c_2020,2.05E-03,50
G002-855_2_16_Cg28v2_VRC01c_2026,1.25E-03,50
G002-943_2_16_Cg28v2_VRC01c_0516,2.14E-04,0.034
G002-943_2_16_Cg28v2_VRC01c_2012,3.04E-04,
G002-947_2_16_Cg28v2_VRC01c_0524,1.12E-03,1.566
G002-947_2_16_Cg28v2_VRC01c_2081,1.69E-02,50
G002-957_2_16_Cg28v2_VRC01c_2059,6.00E-01,50
G002-957_2_16_Cg28v2_VRC01c_2061,3.09E-03,50
G002-119_2_24_Cg28v2_VRC01c_0521,3.80E-03,50
G002-119_2_24_Cg28v2_VRC01c_2033,6.00E-01,50
G002-136_2_24_Cg28v2_VRC01c_0507,1.32E-03,2.688
G002-136_2_24_Cg28v2_VRC01c_2003,6.94E-04,3.857
G002-145_2_24_Cg28v2_VRC01c_0510,1.18E-03,1.17
G002-145_2_24_Cg28v2_VRC01c_2004,5.07E-04,0.005
G002-230_2_24_Cg28v2_VRC01c_0517,1.19E-03,50
G002-230_2_24_Cg28v2_VRC01c_2014,2.55E-04,0.018
G002-293_2_24_Cg28v2_VRC01c_0515,7.85E-04,0.293
G002-293_2_24_Cg28v2_VRC01c_2008,6.64E-04,50
G002-341_2_24_Cg28v2_VRC01c_2023,2.10E-04,0.035
G002-341_2_24_Cg28v2_VRC01c_2041,4.32E-04,0.016
G002-480_2_24_Cg28v2_VRC01c_0530,1.24E-03,50
G002-480_2_24_Cg28v2_VRC01c_2031,6.00E-01,50
G002-493_2_24_Cg28v2_VRC01c_0565,6.00E-01,50
G002-577_2_24_Cg28v2_VRC01c_0508,3.39E-04,0.041
G002-577_2_24_Cg28v2_VRC01c_2011,3.73E-04,0.018
G002-620_2_24_Cg28v2_VRC01c_0554,3.04E-03,44.926
G002-630_2_24_Cg28v2_VRC01c_2002,5.52E-04,0.612
G002-630_2_24_Cg28v2_VRC01c_2007,1.38E-02,50
G002-820_2_24_Cg28v2_VRC01c_0511,2.60E-04,0.004
G002-820_2_24_Cg28v2_VRC01c_2005,4.12E-04,
G002-831_2_24_Cg28v2_VRC01c_2000,2.02E-04,
G002-831_2_24_Cg28v2_VRC01c_2016,6.00E-01,50
G002-855_2_24_Cg28v2_VRC01c_2028,4.26E-04,0.04
G002-855_2_24_Cg28v2_VRC01c_2029,7.28E-04,11.12
G002-943_2_24_Cg28v2_VRC01c_0506,3.72E-04,0.023
G002-943_2_24_Cg28v2_VRC01c_2001,6.91E-05,0.012
G002-947_2_24_Cg28v2_VRC01c_0529,3.87E-04,44.126
G002-947_2_24_Cg28v2_VRC01c_2037,2.14E-03,50
G002-957_2_24_Cg28v2_VRC01c_2010,4.78E-04,
G002-957_2_24_Cg28v2_VRC01c_2013,4.55E-04,0.11
