cellid,Kon,001428-N276Q
G002-119_2_16_Cg28v2_VRC01c_0548,5.51E+03,50
G002-119_2_16_Cg28v2_VRC01c_2068,,50
G002-136_2_16_Cg28v2_VRC01c_0563,,50
G002-136_2_16_Cg28v2_VRC01c_2110,,50
G002-145_2_16_Cg28v2_VRC01c_0509,9.19E+03,50
G002-145_2_16_Cg28v2_VRC01c_2025,,50
G002-230_2_16_Cg28v2_VRC01c_0539,6.12E+03,0.468
G002-230_2_16_Cg28v2_VRC01c_2042,,50
G002-293_2_16_Cg28v2_VRC01c_0536,4.57E+03,37.771
G002-293_2_16_Cg28v2_VRC01c_2073,3.70E+03,43.456
G002-341_2_16_Cg28v2_VRC01c_2022,,50
G002-341_2_16_Cg28v2_VRC01c_2078,6.03E+03,50
G002-480_2_16_Cg28v2_VRC01c_0546,4.50E+03,11.778
G002-480_2_16_Cg28v2_VRC01c_2104,3.66E+03,50
G002-493_2_16_Cg28v2_VRC01c_0553,2.90E+03,50
G002-577_2_16_Cg28v2_VRC01c_0512,4.71E+03,50
G002-577_2_16_Cg28v2_VRC01c_2017,3.64E+03,50
G002-620_2_16_Cg28v2_VRC01c_0567,,50
G002-630_2_16_Cg28v2_VRC01c_2015,6.71E+03,50
G002-820_2_16_Cg28v2_VRC01c_0520,4.25E+03,50
G002-820_2_16_Cg28v2_VRC01c_2024,,50
G002-855_2_16_Cg28v2_VRC01c_2020,,50
G002-855_2_16_Cg28v2_VRC01c_2026,3.14E+03,50
G002-943_2_16_Cg28v2_VRC01c_0516,3.94E+03,0.378
G002-943_2_16_Cg28v2_VRC01c_2012,7.72E+03,
G002-947_2_16_Cg28v2_VRC01c_0524,2.78E+03,15.639
G002-947_2_16_Cg28v2_VRC01c_2081,,50
G002-957_2_16_Cg28v2_VRC01c_2059,,50
G002-957_2_16_Cg28v2_VRC01c_2061,2.12E+03,50
G002-119_2_24_Cg28v2_VRC01c_0521,5.75E+03,50
G002-119_2_24_Cg28v2_VRC01c_2033,,50
G002-136_2_24_Cg28v2_VRC01c_0507,2.24E+03,50
G002-136_2_24_Cg28v2_VRC01c_2003,,50
G002-145_2_24_Cg28v2_VRC01c_0510,3.93E+03,50
G002-145_2_24_Cg28v2_VRC01c_2004,4.49E+03,50
G002-230_2_24_Cg28v2_VRC01c_0517,3.09E+03,50
G002-230_2_24_Cg28v2_VRC01c_2014,2.57E+03,50
G002-293_2_24_Cg28v2_VRC01c_0515,5.24E+03,50
G002-293_2_24_Cg28v2_VRC01c_2008,,50
G002-341_2_24_Cg28v2_VRC01c_2023,5.26E+03,50
G002-341_2_24_Cg28v2_VRC01c_2041,9.36E+03,50
G002-480_2_24_Cg28v2_VRC01c_0530,7.51E+03,50
G002-480_2_24_Cg28v2_VRC01c_2031,,50
G002-493_2_24_Cg28v2_VRC01c_0565,,50
G002-577_2_24_Cg28v2_VRC01c_0508,2.99E+03,50
G002-577_2_24_Cg28v2_VRC01c_2011,3.72E+03,50
G002-620_2_24_Cg28v2_VRC01c_0554,5.52E+03,50
G002-630_2_24_Cg28v2_VRC01c_2002,3.40E+03,50
G002-630_2_24_Cg28v2_VRC01c_2007,1.00E+03,50
G002-820_2_24_Cg28v2_VRC01c_0511,5.81E+03,17.798
G002-820_2_24_Cg28v2_VRC01c_2005,4.26E+03,
G002-831_2_24_Cg28v2_VRC01c_2000,6.41E+03,
G002-831_2_24_Cg28v2_VRC01c_2016,,50
G002-855_2_24_Cg28v2_VRC01c_2028,3.04E+03,46.319
G002-855_2_24_Cg28v2_VRC01c_2029,2.28E+03,50
G002-943_2_24_Cg28v2_VRC01c_0506,2.98E+03,6.154
G002-943_2_24_Cg28v2_VRC01c_2001,5.18E+03,11.335
G002-947_2_24_Cg28v2_VRC01c_0529,8.63E+03,50
G002-947_2_24_Cg28v2_VRC01c_2037,1.00E+03,50
G002-957_2_24_Cg28v2_VRC01c_2010,6.02E+03,
G002-957_2_24_Cg28v2_VRC01c_2013,4.27E+03,50
