cellid,Kon,001428-T278M
G002-119_2_16_Cg28v2_VRC01c_0548,4.04E+03,50
G002-119_2_16_Cg28v2_VRC01c_2068,,50
G002-136_2_16_Cg28v2_VRC01c_0563,,50
G002-136_2_16_Cg28v2_VRC01c_2110,,50
G002-145_2_16_Cg28v2_VRC01c_0509,9.88E+03,4.732
G002-145_2_16_Cg28v2_VRC01c_2025,3.69E+03,50
G002-230_2_16_Cg28v2_VRC01c_0539,4.67E+03,0.008
G002-230_2_16_Cg28v2_VRC01c_2042,1.69E+03,50
G002-293_2_16_Cg28v2_VRC01c_0536,6.40E+03,0.194
G002-293_2_16_Cg28v2_VRC01c_2073,4.74E+03,0.32
G002-341_2_16_Cg28v2_VRC01c_2022,2.27E+03,50
G002-341_2_16_Cg28v2_VRC01c_2078,1.10E+04,8.729
G002-480_2_16_Cg28v2_VRC01c_0546,4.67E+03,0.197
G002-480_2_16_Cg28v2_VRC01c_2104,3.30E+03,50
G002-493_2_16_Cg28v2_VRC01c_0553,1.98E+03,29.436
G002-577_2_16_Cg28v2_VRC01c_0512,9.11E+03,9.645
G002-577_2_16_Cg28v2_VRC01c_2017,2.65E+03,3.547
G002-620_2_16_Cg28v2_VRC01c_0567,,50
G002-630_2_16_Cg28v2_VRC01c_2015,7.01E+03,50
G002-820_2_16_Cg28v2_VRC01c_0520,7.22E+03,45.085
G002-820_2_16_Cg28v2_VRC01c_2024,4.10E+03,43.214
G002-855_2_16_Cg28v2_VRC01c_2020,2.69E+03,50
G002-855_2_16_Cg28v2_VRC01c_2026,3.46E+03,50
G002-943_2_16_Cg28v2_VRC01c_0516,4.73E+03,0.014
G002-943_2_16_Cg28v2_VRC01c_2012,7.75E+03,
G002-947_2_16_Cg28v2_VRC01c_0524,4.19E+03,0.055
G002-947_2_16_Cg28v2_VRC01c_2081,7.22E+03,50
G002-957_2_16_Cg28v2_VRC01c_2059,,50
G002-957_2_16_Cg28v2_VRC01c_2061,1.94E+03,6.831
G002-119_2_24_Cg28v2_VRC01c_0521,6.35E+03,38.455
G002-119_2_24_Cg28v2_VRC01c_2033,,50
G002-136_2_24_Cg28v2_VRC01c_0507,2.64E+03,28.808
G002-136_2_24_Cg28v2_VRC01c_2003,3.51E+03,50
G002-145_2_24_Cg28v2_VRC01c_0510,6.16E+03,50
G002-145_2_24_Cg28v2_VRC01c_2004,6.51E+03,50
G002-230_2_24_Cg28v2_VRC01c_0517,3.50E+03,50
G002-230_2_24_Cg28v2_VRC01c_2014,2.79E+03,0.194
G002-293_2_24_Cg28v2_VRC01c_0515,5.21E+03,2.315
G002-293_2_24_Cg28v2_VRC01c_2008,1.71E+03,50
G002-341_2_24_Cg28v2_VRC01c_2023,2.85E+03,0.138
G002-341_2_24_Cg28v2_VRC01c_2041,1.18E+04,3.36
G002-480_2_24_Cg28v2_VRC01c_0530,7.98E+03,50
G002-480_2_24_Cg28v2_VRC01c_2031,,50
G002-493_2_24_Cg28v2_VRC01c_0565,4.47E+03,50
G002-577_2_24_Cg28v2_VRC01c_0508,2.48E+03,8.028
G002-577_2_24_Cg28v2_VRC01c_2011,4.62E+03,50
G002-620_2_24_Cg28v2_VRC01c_0554,6.32E+03,9.962
G002-630_2_24_Cg28v2_VRC01c_2002,8.30E+03,12.6
G002-630_2_24_Cg28v2_VRC01c_2007,2.51E+03,50
G002-820_2_24_Cg28v2_VRC01c_0511,7.78E+03,0.006
G002-820_2_24_Cg28v2_VRC01c_2005,5.00E+03,
G002-831_2_24_Cg28v2_VRC01c_2000,6.60E+03,
G002-831_2_24_Cg28v2_VRC01c_2016,,50
G002-855_2_24_Cg28v2_VRC01c_2028,3.30E+03,0.053
G002-855_2_24_Cg28v2_VRC01c_2029,2.33E+03,50
G002-943_2_24_Cg28v2_VRC01c_0506,3.00E+03,0.035
G002-943_2_24_Cg28v2_VRC01c_2001,5.88E+03,0.036
G002-947_2_24_Cg28v2_VRC01c_0529,6.83E+03,49.592
G002-947_2_24_Cg28v2_VRC01c_2037,2.19E+03,50
G002-957_2_24_Cg28v2_VRC01c_2010,5.87E+03,
G002-957_2_24_Cg28v2_VRC01c_2013,2.79E+03,0.257
