cellid,Kon,191084-N276D
G002-119_2_16_Cg28v2_VRC01c_0548,1.50E+04,0.119
G002-119_2_16_Cg28v2_VRC01c_2068,9.31E+03,0.125
G002-136_2_16_Cg28v2_VRC01c_0563,,50
G002-136_2_16_Cg28v2_VRC01c_2110,1.84E+03,50
G002-145_2_16_Cg28v2_VRC01c_0509,1.12E+04,50
G002-145_2_16_Cg28v2_VRC01c_2025,1.39E+04,0.088
G002-230_2_16_Cg28v2_VRC01c_0539,1.70E+04,0.531
G002-230_2_16_Cg28v2_VRC01c_2042,4.75E+03,50
G002-293_2_16_Cg28v2_VRC01c_0536,1.53E+04,0.048
G002-293_2_16_Cg28v2_VRC01c_2073,6.00E+03,1.657
G002-341_2_16_Cg28v2_VRC01c_2022,3.56E+03,0.666
G002-341_2_16_Cg28v2_VRC01c_2078,6.01E+03,0.043
G002-480_2_16_Cg28v2_VRC01c_0546,1.17E+04,0.057
G002-480_2_16_Cg28v2_VRC01c_2104,2.89E+03,32.91
G002-493_2_16_Cg28v2_VRC01c_0553,1.44E+03,50
G002-577_2_16_Cg28v2_VRC01c_0512,2.03E+04,0.016
G002-577_2_16_Cg28v2_VRC01c_2017,7.71E+03,0.04
G002-620_2_16_Cg28v2_VRC01c_0567,,50
G002-630_2_16_Cg28v2_VRC01c_2015,1.07E+04,0.026
G002-820_2_16_Cg28v2_VRC01c_0520,1.19E+04,0.023
G002-820_2_16_Cg28v2_VRC01c_2024,4.22E+03,1.102
G002-855_2_16_Cg28v2_VRC01c_2020,8.66E+03,0.608
G002-855_2_16_Cg28v2_VRC01c_2026,8.80E+03,4.87
G002-943_2_16_Cg28v2_VRC01c_0516,7.76E+03,0.098
G002-943_2_16_Cg28v2_VRC01c_2012,1.37E+04,
G002-947_2_16_Cg28v2_VRC01c_0524,9.49E+03,12.074
G002-947_2_16_Cg28v2_VRC01c_2081,5.24E+03,0.147
G002-957_2_16_Cg28v2_VRC01c_2059,2.19E+03,0.899
G002-957_2_16_Cg28v2_VRC01c_2061,6.39E+03,0.094
G002-119_2_24_Cg28v2_VRC01c_0521,1.34E+04,0.041
G002-119_2_24_Cg28v2_VRC01c_2033,1.00E+03,50
G002-136_2_24_Cg28v2_VRC01c_0507,1.22E+04,0.156
G002-136_2_24_Cg28v2_VRC01c_2003,1.40E+04,0.116
G002-145_2_24_Cg28v2_VRC01c_0510,4.66E+03,25.418
G002-145_2_24_Cg28v2_VRC01c_2004,2.02E+04,0.029
G002-230_2_24_Cg28v2_VRC01c_0517,9.13E+03,0.138
G002-230_2_24_Cg28v2_VRC01c_2014,1.35E+04,0.055
G002-293_2_24_Cg28v2_VRC01c_0515,9.63E+03,0.166
G002-293_2_24_Cg28v2_VRC01c_2008,4.37E+03,0.721
G002-341_2_24_Cg28v2_VRC01c_2023,1.30E+04,0.044
G002-341_2_24_Cg28v2_VRC01c_2041,2.48E+04,0.019
G002-480_2_24_Cg28v2_VRC01c_0530,3.15E+03,50
G002-480_2_24_Cg28v2_VRC01c_2031,6.66E+03,50
G002-493_2_24_Cg28v2_VRC01c_0565,4.69E+03,2
G002-577_2_24_Cg28v2_VRC01c_0508,6.73E+03,0.221
G002-577_2_24_Cg28v2_VRC01c_2011,1.75E+04,0.098
G002-620_2_24_Cg28v2_VRC01c_0554,2.40E+04,0.008
G002-630_2_24_Cg28v2_VRC01c_2002,1.42E+04,0.05
G002-630_2_24_Cg28v2_VRC01c_2007,3.69E+03,0.231
G002-820_2_24_Cg28v2_VRC01c_0511,8.77E+03,0.142
G002-820_2_24_Cg28v2_VRC01c_2005,2.39E+04,
G002-831_2_24_Cg28v2_VRC01c_2000,1.69E+04,
G002-831_2_24_Cg28v2_VRC01c_2016,2.49E+03,50
G002-855_2_24_Cg28v2_VRC01c_2028,9.01E+03,0.13
G002-855_2_24_Cg28v2_VRC01c_2029,6.67E+03,1.493
G002-943_2_24_Cg28v2_VRC01c_0506,1.17E+04,0.105
G002-943_2_24_Cg28v2_VRC01c_2001,1.93E+04,0.111
G002-947_2_24_Cg28v2_VRC01c_0529,6.91E+03,50
G002-947_2_24_Cg28v2_VRC01c_2037,4.35E+03,50
G002-957_2_24_Cg28v2_VRC01c_2010,1.98E+04,
G002-957_2_24_Cg28v2_VRC01c_2013,1.57E+04,0.037
