cellid,Kon,1HD2-N276D
G002-119_2_16_Cg28v2_VRC01c_0548,1.33E+04,10
G002-119_2_16_Cg28v2_VRC01c_2068,2.71E+04,50
G002-136_2_16_Cg28v2_VRC01c_0563,,50
G002-136_2_16_Cg28v2_VRC01c_2110,,50
G002-145_2_16_Cg28v2_VRC01c_0509,2.21E+04,5.197
G002-145_2_16_Cg28v2_VRC01c_2025,2.42E+04,50
G002-230_2_16_Cg28v2_VRC01c_0539,1.96E+04,1.55
G002-230_2_16_Cg28v2_VRC01c_2042,,50
G002-293_2_16_Cg28v2_VRC01c_0536,1.68E+04,4.464
G002-293_2_16_Cg28v2_VRC01c_2073,9.20E+03,17.561
G002-341_2_16_Cg28v2_VRC01c_2022,1.05E+04,50
G002-341_2_16_Cg28v2_VRC01c_2078,1.70E+04,0.061
G002-480_2_16_Cg28v2_VRC01c_0546,2.48E+04,0.005
G002-480_2_16_Cg28v2_VRC01c_2104,3.35E+04,50
G002-493_2_16_Cg28v2_VRC01c_0553,3.04E+04,50
G002-577_2_16_Cg28v2_VRC01c_0512,4.08E+04,0.524
G002-577_2_16_Cg28v2_VRC01c_2017,3.50E+03,28.169
G002-620_2_16_Cg28v2_VRC01c_0567,,50
G002-630_2_16_Cg28v2_VRC01c_2015,2.02E+04,1.167
G002-820_2_16_Cg28v2_VRC01c_0520,1.44E+04,0.209
G002-820_2_16_Cg28v2_VRC01c_2024,1.68E+04,50
G002-855_2_16_Cg28v2_VRC01c_2020,2.14E+04,50
G002-855_2_16_Cg28v2_VRC01c_2026,1.14E+04,50
G002-943_2_16_Cg28v2_VRC01c_0516,6.44E+03,0.037
G002-943_2_16_Cg28v2_VRC01c_2012,1.21E+04,
G002-947_2_16_Cg28v2_VRC01c_0524,1.36E+04,50
G002-947_2_16_Cg28v2_VRC01c_2081,2.45E+04,50
G002-957_2_16_Cg28v2_VRC01c_2059,1.04E+04,50
G002-957_2_16_Cg28v2_VRC01c_2061,3.15E+03,50
G002-119_2_24_Cg28v2_VRC01c_0521,8.76E+03,50
G002-119_2_24_Cg28v2_VRC01c_2033,,50
G002-136_2_24_Cg28v2_VRC01c_0507,5.85E+03,3.414
G002-136_2_24_Cg28v2_VRC01c_2003,5.58E+03,4.256
G002-145_2_24_Cg28v2_VRC01c_0510,2.06E+04,15.387
G002-145_2_24_Cg28v2_VRC01c_2004,3.51E+04,0.003
G002-230_2_24_Cg28v2_VRC01c_0517,1.28E+04,50
G002-230_2_24_Cg28v2_VRC01c_2014,1.26E+04,0.512
G002-293_2_24_Cg28v2_VRC01c_0515,1.07E+04,0.159
G002-293_2_24_Cg28v2_VRC01c_2008,1.02E+04,40.971
G002-341_2_24_Cg28v2_VRC01c_2023,8.10E+03,0.018
G002-341_2_24_Cg28v2_VRC01c_2041,2.69E+04,0.061
G002-480_2_24_Cg28v2_VRC01c_0530,1.39E+04,28.067
G002-480_2_24_Cg28v2_VRC01c_2031,,50
G002-493_2_24_Cg28v2_VRC01c_0565,4.39E+04,50
G002-577_2_24_Cg28v2_VRC01c_0508,1.28E+04,0.072
G002-577_2_24_Cg28v2_VRC01c_2011,2.96E+04,0.033
G002-620_2_24_Cg28v2_VRC01c_0554,3.45E+04,44.894
G002-630_2_24_Cg28v2_VRC01c_2002,2.92E+04,2.366
G002-630_2_24_Cg28v2_VRC01c_2007,6.50E+03,50
G002-820_2_24_Cg28v2_VRC01c_0511,1.53E+04,0.017
G002-820_2_24_Cg28v2_VRC01c_2005,2.14E+04,
G002-831_2_24_Cg28v2_VRC01c_2000,1.80E+04,
G002-831_2_24_Cg28v2_VRC01c_2016,,50
G002-855_2_24_Cg28v2_VRC01c_2028,1.62E+04,0.224
G002-855_2_24_Cg28v2_VRC01c_2029,6.49E+03,0.107
G002-943_2_24_Cg28v2_VRC01c_0506,8.02E+03,0.021
G002-943_2_24_Cg28v2_VRC01c_2001,2.70E+04,0.008
G002-947_2_24_Cg28v2_VRC01c_0529,1.08E+04,50
G002-947_2_24_Cg28v2_VRC01c_2037,1.70E+04,50
G002-957_2_24_Cg28v2_VRC01c_2010,1.95E+04,
G002-957_2_24_Cg28v2_VRC01c_2013,1.33E+04,0.502
