cellid,Kon,1HD2-T278M
G002-119_2_16_Cg28v2_VRC01c_0548,5.22E+03,50
G002-119_2_16_Cg28v2_VRC01c_2068,2.26E+04,46.579
G002-136_2_16_Cg28v2_VRC01c_0563,,50
G002-136_2_16_Cg28v2_VRC01c_2110,,50
G002-145_2_16_Cg28v2_VRC01c_0509,1.24E+04,2.358
G002-145_2_16_Cg28v2_VRC01c_2025,3.01E+04,50
G002-230_2_16_Cg28v2_VRC01c_0539,1.44E+04,23.427
G002-230_2_16_Cg28v2_VRC01c_2042,1.08E+04,50
G002-293_2_16_Cg28v2_VRC01c_0536,1.43E+04,0.208
G002-293_2_16_Cg28v2_VRC01c_2073,9.69E+03,5.57
G002-341_2_16_Cg28v2_VRC01c_2022,9.54E+03,50
G002-341_2_16_Cg28v2_VRC01c_2078,1.45E+04,0.197
G002-480_2_16_Cg28v2_VRC01c_0546,2.73E+04,0.004
G002-480_2_16_Cg28v2_VRC01c_2104,5.38E+03,50
G002-493_2_16_Cg28v2_VRC01c_0553,8.57E+03,50
G002-577_2_16_Cg28v2_VRC01c_0512,1.60E+04,0.989
G002-577_2_16_Cg28v2_VRC01c_2017,3.62E+03,50
G002-620_2_16_Cg28v2_VRC01c_0567,,50
G002-630_2_16_Cg28v2_VRC01c_2015,1.26E+04,0.926
G002-820_2_16_Cg28v2_VRC01c_0520,1.19E+04,1.996
G002-820_2_16_Cg28v2_VRC01c_2024,9.32E+03,50
G002-855_2_16_Cg28v2_VRC01c_2020,2.73E+04,50
G002-855_2_16_Cg28v2_VRC01c_2026,1.40E+04,50
G002-943_2_16_Cg28v2_VRC01c_0516,6.37E+03,0.034
G002-943_2_16_Cg28v2_VRC01c_2012,9.92E+03,
G002-947_2_16_Cg28v2_VRC01c_0524,1.57E+04,1.566
G002-947_2_16_Cg28v2_VRC01c_2081,1.57E+04,50
G002-957_2_16_Cg28v2_VRC01c_2059,,50
G002-957_2_16_Cg28v2_VRC01c_2061,4.94E+03,50
G002-119_2_24_Cg28v2_VRC01c_0521,8.73E+03,50
G002-119_2_24_Cg28v2_VRC01c_2033,,50
G002-136_2_24_Cg28v2_VRC01c_0507,4.14E+03,2.688
G002-136_2_24_Cg28v2_VRC01c_2003,5.88E+03,3.857
G002-145_2_24_Cg28v2_VRC01c_0510,1.90E+04,1.17
G002-145_2_24_Cg28v2_VRC01c_2004,4.04E+04,0.005
G002-230_2_24_Cg28v2_VRC01c_0517,8.94E+03,50
G002-230_2_24_Cg28v2_VRC01c_2014,1.08E+04,0.018
G002-293_2_24_Cg28v2_VRC01c_0515,1.12E+04,0.293
G002-293_2_24_Cg28v2_VRC01c_2008,1.41E+04,50
G002-341_2_24_Cg28v2_VRC01c_2023,5.98E+03,0.035
G002-341_2_24_Cg28v2_VRC01c_2041,2.03E+04,0.016
G002-480_2_24_Cg28v2_VRC01c_0530,1.27E+04,50
G002-480_2_24_Cg28v2_VRC01c_2031,1.00E+03,50
G002-493_2_24_Cg28v2_VRC01c_0565,,50
G002-577_2_24_Cg28v2_VRC01c_0508,9.91E+03,0.041
G002-577_2_24_Cg28v2_VRC01c_2011,3.22E+04,0.018
G002-620_2_24_Cg28v2_VRC01c_0554,9.33E+03,44.926
G002-630_2_24_Cg28v2_VRC01c_2002,2.59E+04,0.612
G002-630_2_24_Cg28v2_VRC01c_2007,3.64E+03,50
G002-820_2_24_Cg28v2_VRC01c_0511,2.89E+04,0.004
G002-820_2_24_Cg28v2_VRC01c_2005,1.53E+04,
G002-831_2_24_Cg28v2_VRC01c_2000,1.22E+04,
G002-831_2_24_Cg28v2_VRC01c_2016,,50
G002-855_2_24_Cg28v2_VRC01c_2028,1.46E+04,0.04
G002-855_2_24_Cg28v2_VRC01c_2029,5.62E+03,11.12
G002-943_2_24_Cg28v2_VRC01c_0506,7.06E+03,0.023
G002-943_2_24_Cg28v2_VRC01c_2001,1.78E+04,0.012
G002-947_2_24_Cg28v2_VRC01c_0529,1.24E+04,44.126
G002-947_2_24_Cg28v2_VRC01c_2037,2.15E+04,50
G002-957_2_24_Cg28v2_VRC01c_2010,1.11E+04,
G002-957_2_24_Cg28v2_VRC01c_2013,1.04E+04,0.11
