"","outcome","comp","wk16","wk24","est","lci","uci","p.value","fdr"
"1","core-g28v2-N276","16 vs. 24",3.85402117597892e-07,1.4857042679581e-07,0.385494578290875,0.132356559036126,1.1227707260892,0.0805235685665676,0.209361278273076
"2","001428-core","16 vs. 24",1.05333435977267e-05,9.90772769274934e-06,0.940606142847903,0.530156743711716,1.66882705248451,0.83420371769876,0.903720694173657
"3","BG505-core","16 vs. 24",1.15476287707898e-05,1.0239160855397e-05,0.88668947180718,0.457564437454805,1.71826775653069,0.721631508164808,0.852837236922046
"4","BG505-cd4bsHxB2","16 vs. 24",4.25163800396814e-06,3.13945141276946e-06,0.738409857527698,0.444829293522752,1.22574912586369,0.240886791103228,0.391441035542745
"5","BG505-cd4bsHxB2-M278","16 vs. 24",1.78290095785633e-07,5.71196795979339e-08,0.32037494481248,0.135059843093361,0.759960199218128,0.00980023169402254,0.0637015060111465
"6","BG505-T278M","16 vs. 24",1.48823580891992e-06,4.85335120447046e-07,0.326114395002547,0.126414947667697,0.841281830906877,0.0204817610734886,0.0887542979851172
"7","1HD2-N276Q","16 vs. 24",5.66188530028103e-07,8.21479703906065e-07,1.45089428757112,0.56142174187426,3.74957732609148,0.442316983575354,0.575012078647961
"8","001428-T278M","16 vs. 24",3.24326412996785e-07,2.18918698638631e-07,0.674994973785257,0.248429702975245,1.83399251047191,0.440876272353208,0.575012078647961
"9","V703-0537-T278M","16 vs. 24",2.92046530611248e-07,2.96326372289987e-07,1.01465465681027,0.439407730608692,2.34298124696309,0.972819603070049,0.972819603070049
"10","V703-0739-T278M","16 vs. 24",1.42568618136898e-06,7.44823481063905e-07,0.522431577718391,0.23778986000254,1.14779811634698,0.105939403145675,0.229535373482295
"11","CAP260-T278M","16 vs. 24",1.22164024597038e-06,3.19505939920063e-07,0.261538485633527,0.123001412828134,0.556110518527581,0.000493067779902322,0.00640988113873018
"12","CNE40-T278M","16 vs. 24",6.82054073617887e-07,4.66118932308979e-07,0.683404660038899,0.37878418324354,1.23300272298487,0.206118483997317,0.382791470280732
"13","235-T278M","16 vs. 24",1.11472648514851e-05,2.73602300934479e-06,0.245443437991005,0.0614839658564918,0.979807994062302,0.0467182409013563,0.151834282929408
