"Comparison","SampleSizes","Median_Min_Max","Mean_SD","MagnitudeTest","PerfectSeparation","trial","panel","order"
"Wk8 vs. Wk16",34,"0.0901 [0.0208, 0.3422] vs. 0.7701 [0.1139, 3.0402]","0.1177 (0.0863) vs. 0.9232 (0.7107)",1.16415321826935e-10,FALSE,"G001","A",1
"Wk8 vs. Wk16",27,"0.9080 [0.2591, 2.7650] vs. 1.6053 [0.3849, 5.3131]","1.1215 (0.7236) vs. 1.9514 (1.3721)",1.04308128356934e-07,FALSE,"G002","A",2
"Wk8 vs. Wk24",13,"1.2819 [0.4435, 2.7650] vs. 2.2482 [0.6533, 4.7201]","1.3566 (0.6402) vs. 2.2906 (1.0438)",0.00048828125,FALSE,"G002","A",3
"Wk8 vs. Wk10",18,"0.5800 [0.1152, 3.1542] vs. 1.8264 [0.3561, 7.0647]","0.7021 (0.6780) vs. 2.8176 (2.2760)",7.62939453125e-06,FALSE,"G003","A",4
"Wk8 vs. Wk16",17,"0.5314 [0.1152, 3.1542] vs. 0.6960 [0.1275, 5.7943]","0.7023 (0.6989) vs. 1.1837 (1.3738)",0.0020904541015625,FALSE,"G003","A",5
"Wk8 vs. Wk21",18,"0.5800 [0.1152, 3.1542] vs. 0.8958 [0.0925, 3.6950]","0.7021 (0.6780) vs. 1.1552 (0.9308)",0.0005340576171875,FALSE,"G003","A",6
"Wk8 vs. Wk16",34,"0.0341 [0.0056, 0.1537] vs. 0.1655 [0.0305, 0.8489]","0.0445 (0.0356) vs. 0.2110 (0.1786)",1.16415321826935e-10,FALSE,"G001","B",1
"Wk8 vs. Wk16",27,"0.3730 [0.1011, 1.2209] vs. 0.4099 [0.1291, 1.4417]","0.4705 (0.3236) vs. 0.5510 (0.4051)",0.16235288977623,FALSE,"G002","B",2
"Wk8 vs. Wk24",13,"0.5156 [0.1011, 1.1384] vs. 0.5911 [0.1087, 1.2040]","0.5815 (0.3092) vs. 0.5849 (0.3247)",0.892578125,FALSE,"G002","B",3
"Wk8 vs. Wk10",18,"0.2393 [0.0632, 0.9268] vs. 0.5787 [0.1152, 1.7352]","0.2903 (0.2048) vs. 0.7455 (0.5173)",7.62939453125e-06,FALSE,"G003","B",4
"Wk8 vs. Wk16",17,"0.2370 [0.0632, 0.9268] vs. 0.3365 [0.0632, 1.6900]","0.2868 (0.2106) vs. 0.4517 (0.3870)",0.001068115234375,FALSE,"G003","B",5
"Wk8 vs. Wk21",18,"0.2393 [0.0632, 0.9268] vs. 0.3750 [0.0532, 0.9696]","0.2903 (0.2048) vs. 0.4662 (0.3160)",0.00193023681640625,FALSE,"G003","B",6
"Wk8 vs. Wk16",34,"35.4060 [18.3673, 68.1992] vs. 23.0036 [5.6008, 52.5964]","38.0744 (14.3291) vs. 24.7240 (11.5569)",5.20376488566399e-08,FALSE,"G001","C",1
"Wk8 vs. Wk16",27,"40.8873 [23.8300, 54.1502] vs. 25.5591 [10.4849, 40.6994]","40.8317 (7.1411) vs. 24.7891 (8.0212)",1.49011611938477e-08,FALSE,"G002","C",2
"Wk8 vs. Wk24",13,"41.4414 [26.0675, 55.2626] vs. 24.3969 [7.7029, 30.2637]","41.6117 (6.5839) vs. 21.3198 (7.6657)",0.000244140625,FALSE,"G002","C",3
"Wk8 vs. Wk10",18,"49.1932 [29.0277, 60.2194] vs. 27.8123 [14.9554, 46.7083]","48.2984 (7.9988) vs. 29.3815 (8.1904)",7.62939453125e-06,FALSE,"G003","C",4
"Wk8 vs. Wk16",17,"48.9164 [29.0277, 60.2194] vs. 48.3516 [28.6586, 62.3758]","47.9760 (8.1235) vs. 44.9238 (11.5890)",0.17425537109375,FALSE,"G003","C",5
"Wk8 vs. Wk21",18,"49.1932 [29.0277, 60.2194] vs. 45.0970 [25.5024, 62.3275]","48.2984 (7.9988) vs. 45.9845 (10.2484)",0.246208190917969,FALSE,"G003","C",6
"Wk8 vs. Wk16",34,"0.0066 [0.0000, 0.0608] vs. 0.0354 [0.0000, 0.2718]","0.0126 (0.0152) vs. 0.0487 (0.0561)",9.31322574615479e-10,FALSE,"G001","E",1
"Wk8 vs. Wk16",27,"0.0669 [0.0000, 0.3253] vs. 0.1438 [0.0000, 0.6480]","0.1118 (0.1015) vs. 0.2116 (0.1898)",1.19209289550781e-07,FALSE,"G002","E",2
"Wk8 vs. Wk24",13,"0.1196 [0.0000, 0.2711] vs. 0.2504 [0.0000, 0.6038]","0.1222 (0.0895) vs. 0.2868 (0.1953)",0.00048828125,FALSE,"G002","E",3
"Wk8 vs. Wk10",16,"0.0376 [0.0000, 0.1414] vs. 0.0848 [0.0000, 0.3507]","0.0567 (0.0492) vs. 0.1005 (0.0893)",0.00146484375,FALSE,"G003","E",4
"Wk8 vs. Wk16",16,"0.0376 [0.0000, 0.1414] vs. 0.0931 [0.0000, 0.2569]","0.0567 (0.0492) vs. 0.1097 (0.0818)",0.0001220703125,FALSE,"G003","E",5
"Wk8 vs. Wk21",16,"0.0376 [0.0000, 0.1414] vs. 0.1469 [0.0000, 0.3017]","0.0567 (0.0492) vs. 0.1458 (0.0968)",0.0001220703125,FALSE,"G003","E",6
