"","panel","comp","week","set","est","lci","uci","p.value","fdr"
"1","A","eOD->eOD vs. eOD->core","16","Random",0.446413284936174,0.128176752884129,1.55476571596144,0.205234431840565,0.273645909120754
"2","A","eOD->eOD vs. eOD->core","24","Random",0.320913717467961,0.0622904422003797,1.65331325996717,0.174191894001712,0.261287841002569
"3","A","eOD->eOD vs. eOD->eOD->core","24","Random",0.0990340169219502,0.021471594024315,0.456777288942339,0.00303122916850006,0.00727495000440015
"4","A","eOD->core vs. eOD->eOD->core","24","Random",0.308600136209002,0.0412026843420674,2.31135533009391,0.252447800133458,0.302937360160149
"5","A","eOD->eOD vs. eOD->core","16","Selected",0.00098516103123836,0.00024954115954071,0.00388930731610348,5.03832129886738e-23,3.02299277932043e-22
"6","A","eOD->eOD vs. eOD->core","24","Selected",0.000947972205073507,0.000276799002091146,0.0032465843258207,1.51527093059489e-28,1.81832511671386e-27
"7","A","eOD->eOD vs. eOD->eOD->core","24","Selected",0.0181045037969119,0.00286806969416547,0.114283505173946,1.97858415075431e-05,5.93575245226292e-05
"8","A","eOD->core vs. eOD->eOD->core","24","Selected",19.0981377935105,2.5821241610912,141.255355832996,0.00386306310691266,0.00772612621382532
"9","A","eOD->eOD","16 vs. 24","Selected",0.668255069477671,0.280477146481988,1.59216122769305,0.362827950484475,0.395812309619427
"10","A","eOD->core","16 vs. 24","Selected",0.643029120800681,0.107607671443148,3.84253691816157,0.6283040308964,0.6283040308964
"11","A","eOD->eOD vs. eOD->eOD->core","16 vs. 24","Selected",0.0120984264426643,0.00212601483088,0.0688480250760865,6.48702790231088e-07,2.59481116092435e-06
"12","A","eOD->core vs. eOD->eOD->core","16 vs. 24","Selected",12.2806587542913,1.42112704981936,106.123220621634,0.0226448952308442,0.0388198203957328
"13","B","eOD->eOD vs. eOD->core","16","Selected",0.0308878641354082,0.00977908073184392,0.097561332911457,3.10461082453359e-09,1.24184432981344e-08
"14","B","eOD->eOD vs. eOD->core","24","Selected",0.00766392734400012,0.00234989648525431,0.0249950509321078,6.6755862465543e-16,5.34046899724344e-15
"15","B","eOD->eOD vs. eOD->eOD->core","24","Selected",0.0887964245705268,0.0182276676921935,0.432573445470817,0.00272420790005698,0.00544841580011395
"16","B","eOD->core vs. eOD->eOD->core","24","Selected",11.5862821481525,2.34130194996255,57.3364465094922,0.00267650540675472,0.00544841580011395
"17","B","eOD->eOD","16 vs. 24","Selected",1.5888483823384,0.48652278150044,5.18873787219987,0.443206147394215,0.443206147394215
"18","B","eOD->core","16 vs. 24","Selected",0.394226629251288,0.135899581671574,1.14359906998404,0.0867072969423172,0.0990940536483625
"19","B","eOD->eOD vs. eOD->eOD->core","16 vs. 24","Selected",0.141084055536315,0.0291655762482467,0.682472739682992,0.0148933731919794,0.023829397107167
"20","B","eOD->core vs. eOD->eOD->core","16 vs. 24","Selected",4.56762095682054,0.961140838801992,21.7066639590415,0.056117242584711,0.074822990112948
