"comp","SampleSizes","Median_Min_Max","p.value","panel","weeks","fdr","method"
"eOD->eOD vs. eOD->core","24 vs. 16","0.0612 [0.0306, 0.0722] vs. 0.0769 [0.0408, 0.0918]",0.00255560108227503,"A","16",0.00681493621940007,"nearest"
"eOD->eOD vs. eOD->core","12 vs. 17","0.0816 [0.0714, 0.0928] vs. 0.0918 [0.0714, 0.1179]",0.0637935321909124,"A","24",0.10206965150546,"nearest"
"eOD->eOD vs. eOD->eOD->core","12 vs. 11","0.0816 [0.0714, 0.0928] vs. 0.0825 [0.0612, 0.1020]",0.88831487532524,"A","24",0.88831487532524,"nearest"
"eOD->core vs. eOD->eOD->core","17 vs. 11","0.0918 [0.0714, 0.1179] vs. 0.0825 [0.0612, 0.1020]",0.10552146810728,"A","24",0.120595963551178,"nearest"
"eOD->eOD","9","0.0612 [0.0306, 0.0722] vs. 0.0816 [0.0714, 0.0928]",0.00390625,"A","16 vs. 24",0.0078125,"nearest"
"eOD->core","16","0.0769 [0.0408, 0.0918] vs. 0.0918 [0.0714, 0.1179]",6.103515625e-05,"A","16 vs. 24",0.00048828125,"nearest"
"eOD->eOD vs. eOD->eOD->core","10","0.0615 [0.0510, 0.0722] vs. 0.0821 [0.0612, 0.1020]",0.001953125,"A","16 vs. 24",0.00681493621940007,"nearest"
"eOD->core vs. eOD->eOD->core","16 vs. 11","0.0769 [0.0408, 0.0918] vs. 0.0825 [0.0612, 0.1020]",0.0926338185727067,"A","16 vs. 24",0.120595963551178,"nearest"
"eOD->eOD vs. eOD->core","24 vs. 16","0.0330 [0.0109, 0.0440] vs. 0.0435 [0.0220, 0.0652]",0.000932761792540632,"B","16",0.00373104717016253,"nearest"
"eOD->eOD vs. eOD->core","12 vs. 17","0.0491 [0.0435, 0.0549] vs. 0.0543 [0.0440, 0.0652]",0.123133150987645,"B","24",0.140723601128737,"nearest"
"eOD->eOD vs. eOD->eOD->core","12 vs. 11","0.0491 [0.0435, 0.0549] vs. 0.0440 [0.0435, 0.0625]",0.369629562791496,"B","24",0.369629562791496,"nearest"
"eOD->core vs. eOD->eOD->core","17 vs. 11","0.0543 [0.0440, 0.0652] vs. 0.0440 [0.0435, 0.0625]",0.0295581950044193,"B","24",0.0472931120070708,"nearest"
"eOD->eOD","9","0.0330 [0.0109, 0.0330] vs. 0.0444 [0.0435, 0.0549]",0.00390625,"B","16 vs. 24",0.0078125,"nearest"
