"comp","panel","n","estimate","lci","uci","p.value","fdr"
"G001 vs. G002","A",10,2.33540257663773,1.52809882543596,3.56920972922684,0.00143936045502168,0.00557261619392275
"G001 vs. G002","B",10,1.8752101247675,1.35196724082315,2.60096021993073,0.00185753873130758,0.00557261619392275
"G001 vs. G002","C",10,1.65963601114782,1.07707176612089,2.55729634378839,0.0264489650275186,0.0396734475412779
"G001 vs. G002","D",10,-0.00358194842223919,-0.0156293362519798,0.00846543940750144,0.51810319967471,0.51810319967471
"G001 vs. G002","E",10,-0.00260838247376427,-0.00787644778812106,0.00265968284059252,0.291684943803966,0.35002193256476
"G001 vs. G002","F",8,2.37814160347619,0.778644692872469,3.9776385140799,0.00978356813248378,0.0195671362649676
"G001 vs. G003","G",8,3.2121512206431,2.33545791760715,4.41794107549172,5.48700327919419e-05,0.000219480131167767
"G001 vs. G003","H",3,2.4970568643941,0.256196522652813,24.3379298026909,0.225901696730056,0.225901696730056
"G001 vs. G003","I",3,-0.0153411885105137,-0.0369933252709433,0.00631094824991587,0.0928559856912117,0.123807980921616
"G001 vs. G003","J",3,-0.0231979384212712,-0.0509251420372647,0.00452926519472232,0.0692487154962051,0.123807980921616
"G002 vs. G003","F",8,1.40753220065306,1.21279025974467,1.63354453085097,0.000978624029772925,0.00244656007443231
"G002 vs. G003","G",8,1.56652063835936,1.31669171823744,1.86375206619419,0.000486656786831244,0.00243328393415622
"G002 vs. G003","H",3,1.01316956033758,0.541764956981873,1.89475628640372,0.936540995880376,0.999031578138652
"G002 vs. G003","I",3,1.75324579079946e-05,-0.055063150175432,0.055098215091248,0.999031578138652,0.999031578138652
"G002 vs. G003","J",3,-0.0180375816610952,-0.0382964269348924,0.00222126361270197,0.061882070101152,0.10313678350192
