"comp","SampleSizes","summary","p.value","panel","weeks","fdr"
"eOD vs. core","16 vs. 4","0.9635 [0.7297, 1.0000] vs. 1.0000 [0.7500, 1.0000]",0.475954592363261,"A",8,0.475954592363261
"eOD->eOD vs. eOD->core","24 vs. 16","0.9016 [0.7297, 1.0000] vs. 0.8609 [0.6167, 1.0000]",0.358735176534865,"A",16,0.453336990652543
"eOD->eOD vs. eOD->core","13 vs. 17","0.9073 [0.7565, 1.0000] vs. 0.8627 [0.5095, 1.0000]",0.340820333358801,"A",24,0.453336990652543
"eOD->eOD vs. eOD->eOD->core","13 vs. 13","0.9073 [0.7565, 1.0000] vs. 0.8218 [0.5890, 0.9767]",0.0490387093052324,"A",24,0.245193546526162
"eOD->core vs. eOD->eOD->core","17 vs. 13","0.8627 [0.5095, 1.0000] vs. 0.8218 [0.5890, 0.9767]",0.362669592522035,"A",24,0.453336990652543
"eOD vs. core","16 vs. 4","27.0000 [1.0000, 138.0000] vs. 1.5000 [1.0000, 3.0000]",0.0175438596491228,"B",8,0.087719298245614
"eOD->eOD vs. eOD->core","24 vs. 16","72.0000 [4.0000, 455.0000] vs. 72.5000 [5.0000, 338.0000]",0.816545094813071,"B",16,0.816545094813071
"eOD->eOD vs. eOD->core","13 vs. 17","128.0000 [4.0000, 700.0000] vs. 211.0000 [5.0000, 643.0000]",0.535769241527941,"B",24,0.816545094813071
"eOD->eOD vs. eOD->eOD->core","13 vs. 13","128.0000 [4.0000, 700.0000] vs. 165.0000 [22.0000, 512.0000]",0.286857873584216,"B",24,0.717144683960541
"eOD->core vs. eOD->eOD->core","17 vs. 13","211.0000 [5.0000, 643.0000] vs. 165.0000 [22.0000, 512.0000]",0.749986477103971,"B",24,0.816545094813071
"eOD vs. core","16 vs. 4","1.0000 [1.0000, 1.0000] vs. 1.0000 [1.0000, 1.0000]",1,"C",8,1
"eOD->eOD vs. eOD->core","24 vs. 16","1.0000 [1.0000, 1.0000] vs. 1.0000 [1.0000, 1.0000]",1,"C",16,1
"eOD->eOD vs. eOD->core","13 vs. 17","1.0000 [1.0000, 1.0000] vs. 1.0000 [1.0000, 1.0000]",1,"C",24,1
"eOD->eOD vs. eOD->eOD->core","13 vs. 13","1.0000 [1.0000, 1.0000] vs. 1.0000 [1.0000, 1.0000]",1,"C",24,1
"eOD->core vs. eOD->eOD->core","17 vs. 13","1.0000 [1.0000, 1.0000] vs. 1.0000 [1.0000, 1.0000]",1,"C",24,1
